id,title,start_date,end_date,statistics
57379,Tsuki no Odoriko,1/6/22,1/6/22,"{'status': {'watching': '4', 'completed': '20', 'on_hold': '1', 'dropped': '18', 'plan_to_watch': '16'}, 'num_list_users': 59}"
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,2024-07,,"{'status': {'watching': '3', 'completed': 0, 'on_hold': '1', 'dropped': 0, 'plan_to_watch': '5938'}, 'num_list_users': 5942}"
57384,Kaixin Chaoren: Yingxiong de Xin,22/7/22,22/7/22,"{'status': {'watching': '3', 'completed': '13', 'on_hold': '2', 'dropped': '26', 'plan_to_watch': '20'}, 'num_list_users': 64}"
57385,Zhu Luo Ji da Leyuan,15/7/22,15/7/22,"{'status': {'watching': '1', 'completed': '13', 'on_hold': '1', 'dropped': '23', 'plan_to_watch': '20'}, 'num_list_users': 58}"
57386,Fengle! Gui Bao: Sanxing Duo Bao,29/7/22,29/7/22,"{'status': {'watching': '2', 'completed': '15', 'on_hold': 0, 'dropped': '21', 'plan_to_watch': '20'}, 'num_list_users': 58}"
57387,Mini Shijie: Juexing,30/7/22,30/7/22,"{'status': {'watching': '2', 'completed': '16', 'on_hold': '2', 'dropped': '20', 'plan_to_watch': '26'}, 'num_list_users': 66}"
57388,The Cycle Broken,17/11/23,17/11/23,"{'status': {'watching': 0, 'completed': 0, 'on_hold': 0, 'dropped': 0, 'plan_to_watch': 0}, 'num_list_users': 0}"
57389,"Xiong Chumo: Ban Wo ""Xiong Xin""",22/1/23,22/1/23,"{'status': {'watching': '2', 'completed': '21', 'on_hold': '3', 'dropped': '27', 'plan_to_watch': '29'}, 'num_list_users': 82}"
57390,Wonderful Precure!,4/2/24,,"{'status': {'watching': '2869', 'completed': 0, 'on_hold': '104', 'dropped': '192', 'plan_to_watch': '1618'}, 'num_list_users': 4783}"
57391,Astro Note,5/4/24,,"{'status': {'watching': '7920', 'completed': 0, 'on_hold': '161', 'dropped': '596', 'plan_to_watch': '8780'}, 'num_list_users': 17457}"
57393,6-sai no Ballad,2/2/12,2/2/12,"{'status': {'watching': '2', 'completed': '45', 'on_hold': '2', 'dropped': '16', 'plan_to_watch': '11'}, 'num_list_users': 76}"
57394,Koko de Mata Aou,1/2/01,1/2/01,"{'status': {'watching': '2', 'completed': '18', 'on_hold': '2', 'dropped': '20', 'plan_to_watch': '15'}, 'num_list_users': 57}"
57395,Ganbaranba,1/4/06,1/4/06,"{'status': {'watching': '2', 'completed': '19', 'on_hold': '2', 'dropped': '19', 'plan_to_watch': '15'}, 'num_list_users': 57}"
57396,Tasogare Smoothie,4/3/21,4/3/21,"{'status': {'watching': '3', 'completed': '52', 'on_hold': '2', 'dropped': '6', 'plan_to_watch': '12'}, 'num_list_users': 75}"
57397,Ain't Backing Down,13/8/23,13/8/23,"{'status': {'watching': '3', 'completed': '119', 'on_hold': '2', 'dropped': '17', 'plan_to_watch': '17'}, 'num_list_users': 158}"
