id,title,start_date,end_date,statistics
44345,Koyoi wa Halloween Night!,2020-10-31,2020-10-31,"{'status': {'watching': '34', 'completed': '753', 'on_hold': '6', 'dropped': '14', 'plan_to_watch': '76'}, 'num_list_users': 883}"
44349,Rubi Yoyo Jiaoyu Xilie: Kuaile Chengzhang,2012,,"{'status': {'watching': '3', 'completed': '26', 'on_hold': 0, 'dropped': '22', 'plan_to_watch': '19'}, 'num_list_users': 70}"
44350,Tianshang Diao Xia Ge Zhubajie,2005-02-09,,"{'status': {'watching': '4', 'completed': '28', 'on_hold': 0, 'dropped': '19', 'plan_to_watch': '18'}, 'num_list_users': 69}"
44351,Jingling Shiji,2006-05-15,,"{'status': {'watching': '4', 'completed': '23', 'on_hold': '2', 'dropped': '17', 'plan_to_watch': '20'}, 'num_list_users': 66}"
44353,Zhu Zhu Xia: Shenhai Xiao Yingxiong,2020-07-15,2021,"{'status': {'watching': '4', 'completed': '50', 'on_hold': '1', 'dropped': '32', 'plan_to_watch': '27'}, 'num_list_users': 114}"
44358,Hong Mao Lan Tu: Nao Xinchun,2005-02-06,2005-02-06,"{'status': {'watching': '5', 'completed': '36', 'on_hold': '4', 'dropped': '25', 'plan_to_watch': '28'}, 'num_list_users': 98}"
44363,Hong Mao Lan Tu MTV,2005,,"{'status': {'watching': '4', 'completed': '31', 'on_hold': '1', 'dropped': '25', 'plan_to_watch': '19'}, 'num_list_users': 80}"
44365,Tonghua Wangguo Lixian Ji,2010,,"{'status': {'watching': '3', 'completed': '28', 'on_hold': '3', 'dropped': '24', 'plan_to_watch': '19'}, 'num_list_users': 77}"
44366,QiQi KeKe Lixian Ji,2006-09-28,,"{'status': {'watching': '4', 'completed': '28', 'on_hold': '1', 'dropped': '23', 'plan_to_watch': '16'}, 'num_list_users': 72}"
44368,Xi Mu Ba Long Jiazu,2012,,"{'status': {'watching': '4', 'completed': '26', 'on_hold': 0, 'dropped': '23', 'plan_to_watch': '17'}, 'num_list_users': 70}"
44369,QiQi KeKe Shuo Konglong,2009-07-07,,"{'status': {'watching': '4', 'completed': '30', 'on_hold': '1', 'dropped': '23', 'plan_to_watch': '17'}, 'num_list_users': 75}"
44370,Shen Chu Xiaofu Gui,2007-08,,"{'status': {'watching': '7', 'completed': '35', 'on_hold': '4', 'dropped': '27', 'plan_to_watch': '29'}, 'num_list_users': 102}"
44371,Tu Baobao He San Jian Shenqi Baobei,2010,,"{'status': {'watching': '3', 'completed': '32', 'on_hold': 0, 'dropped': '20', 'plan_to_watch': '19'}, 'num_list_users': 74}"
