id,title,start_date,end_date,statistics
54513,Years,2016-10-06,2016-10-06,"{'status': {'watching': '4', 'completed': '90', 'on_hold': '1', 'dropped': '10', 'plan_to_watch': '9'}, 'num_list_users': 114}"
54514,Dongseonglo feat. Crush,2017-11-22,2017-11-22,"{'status': {'watching': '3', 'completed': '85', 'on_hold': '1', 'dropped': '9', 'plan_to_watch': '8'}, 'num_list_users': 106}"
54515,Twigyeo,2015-06-05,2015-06-05,"{'status': {'watching': '7', 'completed': '63', 'on_hold': '1', 'dropped': '10', 'plan_to_watch': '10'}, 'num_list_users': 91}"
54516,Island,2015-03-25,2015-03-25,"{'status': {'watching': '4', 'completed': '72', 'on_hold': '1', 'dropped': '11', 'plan_to_watch': '7'}, 'num_list_users': 95}"
54517,Namjaloseo,2015-01-11,2015-01-11,"{'status': {'watching': '4', 'completed': '71', 'on_hold': '1', 'dropped': '10', 'plan_to_watch': '8'}, 'num_list_users': 94}"
54518,Stupid Love feat. Crush,2014-02-04,2014-02-04,"{'status': {'watching': '3', 'completed': '66', 'on_hold': '2', 'dropped': '7', 'plan_to_watch': '10'}, 'num_list_users': 88}"
54519,Mahou Shoujo Diana,1997-12-28,1997-12-28,"{'status': {'watching': '12', 'completed': '145', 'on_hold': '7', 'dropped': '15', 'plan_to_watch': '108'}, 'num_list_users': 287}"
54521,Tomboy,2017-04-24,2017-04-24,"{'status': {'watching': '6', 'completed': '71', 'on_hold': '1', 'dropped': '11', 'plan_to_watch': '6'}, 'num_list_users': 95}"
54524,Sandwich feat. Choi Jung-in,2016-06-15,2016-06-15,"{'status': {'watching': '4', 'completed': '70', 'on_hold': '1', 'dropped': '10', 'plan_to_watch': '6'}, 'num_list_users': 91}"
54525,Nabiya feat. ZION.T,2017-09-04,2017-09-04,"{'status': {'watching': '4', 'completed': '81', 'on_hold': '1', 'dropped': '10', 'plan_to_watch': '6'}, 'num_list_users': 102}"
54529,Jianzhen da Heshang,2010-05-07,2010-05-07,"{'status': {'watching': '3', 'completed': '26', 'on_hold': '1', 'dropped': '13', 'plan_to_watch': '23'}, 'num_list_users': 66}"
54533,Mida,2013-11-15,2013-11-15,"{'status': {'watching': '6', 'completed': '23', 'on_hold': '5', 'dropped': '15', 'plan_to_watch': '53'}, 'num_list_users': 102}"
54534,Jinxing Ren Aiqing Gushi,2019-02-24,2019-02-24,"{'status': {'watching': '16', 'completed': '109', 'on_hold': '8', 'dropped': '19', 'plan_to_watch': '156'}, 'num_list_users': 308}"
54535,Kuromi's Pretty Journey,2023-02-17,2023-03-31,"{'status': {'watching': '265', 'completed': '665', 'on_hold': '73', 'dropped': '121', 'plan_to_watch': '893'}, 'num_list_users': 2017}"
