mal_id,url,images,trailer,approved,titles,title,title_english,title_japanese,title_synonyms,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,season,year,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics,relations,theme,external,streaming
20001,https://myanimelist.net/anime/20001/Mouretsu_Atarou,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1895/124352l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Mouretsu Atarou,,もーれつア太郎,['Furious Ataro'],TV,Manga,90,Finished Airing,False,"{'from': '1969-04-04T00:00:00+00:00', 'to': '1970-12-25T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 4, 'year': 1969}, 'to': {'day': 25, 'month': 12, 'year': 1970}}, 'string': 'Apr 4, 1969 to Dec 25, 1970'}",25 min per ep,G - All Ages,,,19183,15741,527,0,"Based on a manga of Akatsuka Fujio.

Batsugoro was the owner of a grocery store, Yaobatsu. When he tried to take a balloon hanged caught on the branch for a little child, he fell on to the ground to die. His son, Ataro, succeeded to the store, but Batsugoro was worried about him, and he remained there being a ghost. Ataro managed the shop alone, but soon his follower, Dekoppachi, began to help him. Being surrounded by strange characters such as, Nyarome, Butamatsu, the heart-warming story develops.

(Source: AnimeNfo)",,spring,1969,"{'day': 'Fridays', 'time': '19:30', 'timezone': 'Asia/Tokyo', 'string': 'Fridays at 19:30 (JST)'}",,,Toei Animation,"Comedy,Slice of Life",,,Kids,",","{'openings': ['""Mooretsu Atarou (Hana no Atarou) もーれつア太郎(花のア太郎)"" by Honey Knights, 桂京子'], 'endings': ['1: ""Edokko no Scat (江戸っ子のスキャット)"" by Honey Knights (eps 1-26)', '2: ""Mouretsu Ondo (モーレツ音頭)"" by Midori Katou (eps 27-77)', '3: ""Nyarome no Uta (ニャロメのうた)"" by Hiroshi Ohtake (eps 78-90)']}","Official Site,AniDB,ANN,Wikipedia",
20003,https://myanimelist.net/anime/20003/Roppou_Yabure-kun,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53313.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53313t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53313l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53313.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53313t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53313l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Roppou Yabure-kun,,六法やぶれクン,['Six Broken Laws'],TV,Unknown,110,Finished Airing,False,"{'from': '1969-04-28T00:00:00+00:00', 'to': '1969-09-26T00:00:00+00:00', 'prop': {'from': {'day': 28, 'month': 4, 'year': 1969}, 'to': {'day': 26, 'month': 9, 'year': 1969}}, 'string': 'Apr 28, 1969 to Sep 26, 1969'}",5 min per ep,PG-13 - Teens 13 or older,,,20108,16140,486,0,"Short stories featuring the legal profession. The first anime to be broadcast on the new Nagoya Television Network (NTV).

Based on a story by Saga Sen.

(Source: AniDB)",,spring,1969,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Tokyo Movie Shinsha,,,Slice of Life,,,,,"{'openings': ['""Roppou Yabure-kun no Theme (六法やぶれくんのテーマ)"" by Yasuhiro Koyama (小山恭弘)'], 'endings': []}","Official Site,AniDB,ANN,Wikipedia",
20005,https://myanimelist.net/anime/20005/Pinch_to_Punch,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/9/53315.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/9/53315t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/9/53315l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/9/53315.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/9/53315t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/9/53315l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Pinch to Punch,,ピンチとパンチ,['Pinch & Punch'],TV,Unknown,156,Finished Airing,False,"{'from': '1969-09-29T00:00:00+00:00', 'to': '1970-03-28T00:00:00+00:00', 'prop': {'from': {'day': 29, 'month': 9, 'year': 1969}, 'to': {'day': 28, 'month': 3, 'year': 1970}}, 'string': 'Sep 29, 1969 to Mar 28, 1970'}",5 min per ep,G - All Ages,,,19761,16086,491,0,"A comedy about two goofy twins in the armed forces.

(Source: AniDB)",,fall,1969,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Fuji TV,,,Comedy,,,,,"{'openings': [], 'endings': []}","AniDB,ANN,Wikipedia",
20007,https://myanimelist.net/anime/20007/Hi_Gekiga_Ukiyoe_Senya_Ichiya,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/6/53317.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/6/53317t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/6/53317l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/6/53317.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/6/53317t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/6/53317l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,",Hi Gekiga Ukiyoe Senya Ichiya,,(秘)劇画 浮世絵千一夜,"[""Hi Gekiga Ukiyoe Sen'ya Ichiya"", ""Maruhi Gekiga Ukiyoe Sen'ya Ichiya"", 'Maruhi Gekiga: Ukiyo-e 1001 Nights']",Movie,Unknown,1,Finished Airing,False,"{'from': '1969-10-29T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 29, 'month': 10, 'year': 1969}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 29, 1969'}",1 hr 10 min,Rx - Hentai,5.35,130,,14123,816,2,"An adult movie about a painter whose pictures come alive and commit murder. This film was made in the wake of the success of the Mushi Pro 1001 Nights. Six scenes were cut for obscenity after the movie was released.

(Source: Pelleas)",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",Toei Video,,,"Action,Hentai",,,,,"{'openings': [], 'endings': []}",AniDB,
20009,https://myanimelist.net/anime/20009/Doubutsu_Mura_Monogatari,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53319.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53319t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53319l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53319.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53319t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53319l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,",Doubutsu Mura Monogatari,,動物村ものがたり,"[""The Story of the Animal's Village"", 'Animal Village Stories', 'Dobutsu Mura Monogatari']",TV,Unknown,100,Finished Airing,False,"{'from': '1970-03-30T00:00:00+00:00', 'to': '1970-07-21T00:00:00+00:00', 'prop': {'from': {'day': 30, 'month': 3, 'year': 1970}, 'to': {'day': 21, 'month': 7, 'year': 1970}}, 'string': 'Mar 30, 1970 to Jul 21, 1970'}",5 min per ep,PG - Children,,,16618,16343,466,0,"A short kids series featuring cute animal stories.

(Source: AniDB)",,spring,1970,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Otogi Production,,Eiken,,,,Kids,,"{'openings': [], 'endings': []}","Official Site,AniDB,ANN,Wikipedia",
20021,https://myanimelist.net/anime/20021/Sword_Art_Online__Extra_Edition,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1927/121997l.webp'}}","{'youtube_id': 'WqHLQvIIFVs', 'url': 'https://www.youtube.com/watch?v=WqHLQvIIFVs', 'embed_url': 'https://www.youtube.com/embed/WqHLQvIIFVs?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/WqHLQvIIFVs/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/WqHLQvIIFVs/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/WqHLQvIIFVs/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/WqHLQvIIFVs/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/WqHLQvIIFVs/maxresdefault.jpg'}}",True,",,,,,",Sword Art Online: Extra Edition,Sword Art Online: Extra Edition,ソードアート・オンライン Extra Edition,"['S.A.O: Extra Edition', 'SAO: Extra Edition']",Special,Light novel,1,Finished Airing,False,"{'from': '2013-12-31T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 31, 'month': 12, 'year': 2013}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Dec 31, 2013'}",1 hr 41 min,PG-13 - Teens 13 or older,6.55,189222,6553,752,317073,592,"The story is set a couple of years after the events of Sword Art Online, where Kazuto ""Kirito"" Kirigaya and his sister Suguha meet up with Asuna Yuuki, Rika ""Lisbeth"" Shinozaki, and Keiko ""Silica"" Ayano at the SAO Survivor School. Kirito then attends emergency counseling, while the girls go for a swim at the pool. It turns out that said ""emergency counseling"" is a subterfuge set up by Seijirou Kikuoka, aiming to rehash the incident of Sword Art Online in hopes of determining Akihiko Kayaba's motives. What will the girls get up to in the pool, and what awaits Kirito and his ""counseling""?

[Written by MAL Rewrite]",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",Aniplex,Aniplex of America,A-1 Pictures,"Action,Fantasy",,Video Game,,",,,","{'openings': ['""crossing field"" by LiSA'], 'endings': ['""Niji no Oto (虹の音)"" by Eir Aoi']}","Official Site,AniDB,ANN","Crunchyroll,Netflix"
20023,https://myanimelist.net/anime/20023/Otanoshimi_Anime_Gekijou,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53389.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53389t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53389l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/53389.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/53389t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/53389l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",",Otanoshimi Anime Gekijou,,おたのしみアニメ劇場,,TV,Unknown,26,Finished Airing,False,"{'from': '1970-04-05T00:00:00+00:00', 'to': '1970-09-27T00:00:00+00:00', 'prop': {'from': {'day': 5, 'month': 4, 'year': 1970}, 'to': {'day': 27, 'month': 9, 'year': 1970}}, 'string': 'Apr 5, 1970 to Sep 27, 1970'}",54 min per ep,G - All Ages,,,19637,16814,424,0,Based on the original story by Studio Zero.,,spring,1970,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}","Fuji TV,Studio Zero",,,Comedy,,,,,"{'openings': [], 'endings': []}","AniDB,ANN,Wikipedia",
20025,https://myanimelist.net/anime/20025/Itazura_Tenshi_Chippo-chan,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/53413.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/53413t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/53413l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/53413.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/53413t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/53413l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Itazura Tenshi Chippo-chan,,いたずら天使チッポちゃん,['Chippo the Mischievous Angel'],TV,Unknown,240,Finished Airing,False,"{'from': '1970-03-30T00:00:00+00:00', 'to': '1970-12-31T00:00:00+00:00', 'prop': {'from': {'day': 30, 'month': 3, 'year': 1970}, 'to': {'day': 31, 'month': 12, 'year': 1970}}, 'string': 'Mar 30, 1970 to Dec 31, 1970'}",5 min per ep,PG - Children,,,17676,16607,441,0,"Humorous adventures of a silly angel, 5 minutes per episode.

(Source: AniDB)",,spring,1970,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Fuji TV,,,Comedy,,,Kids,,"{'openings': [], 'endings': []}","AniDB,ANN,Wikipedia",
20027,https://myanimelist.net/anime/20027/Nihon_Meisaku_Douwa_Series__Akai_Tori_no_Kokoro,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1126/96190l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,",Nihon Meisaku Douwa Series: Akai Tori no Kokoro,,日本名作童話シリーズ 赤い鳥のこころ,"['Heart of the Red Bird', 'Japanese Masterpiece Fairytale Series: Heart of the Red Bird']",TV,Unknown,26,Finished Airing,False,"{'from': '1979-02-05T00:00:00+00:00', 'to': '1979-07-30T00:00:00+00:00', 'prop': {'from': {'day': 5, 'month': 2, 'year': 1979}, 'to': {'day': 30, 'month': 7, 'year': 1979}}, 'string': 'Feb 5, 1979 to Jul 30, 1979'}",25 min per ep,PG - Children,,,19391,15227,596,2,"A collection of children's stories originally printed in the popular magazine Akai Tori, which was published from 1918 to 1936.

(Source: AniDB)",,winter,1979,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",,,Shin-Ei Animation,"Adventure,Fantasy",,,Kids,,"{'openings': ['""Runrunruu no Uta (ルンルンルーの歌)"" by 東京コンサーツ'], 'endings': ['""Kono Yume Dare ni Ageyouka (この夢だれにあげようか)"" by 東京コンサーツ']}","AniDB,ANN,Wikipedia",
20031,https://myanimelist.net/anime/20031/D-Frag,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1662/112108l.webp'}}","{'youtube_id': 'iaVVbM84uRY', 'url': 'https://www.youtube.com/watch?v=iaVVbM84uRY', 'embed_url': 'https://www.youtube.com/embed/iaVVbM84uRY?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/iaVVbM84uRY/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/iaVVbM84uRY/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/iaVVbM84uRY/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/iaVVbM84uRY/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/iaVVbM84uRY/maxresdefault.jpg'}}",True,",,,,",D-Frag!,D-Frag!,ディーふらぐ！,"['D-Frag!', 'D-Fragments']",TV,Manga,12,Finished Airing,False,"{'from': '2014-01-07T00:00:00+00:00', 'to': '2014-03-25T00:00:00+00:00', 'prop': {'from': {'day': 7, 'month': 1, 'year': 2014}, 'to': {'day': 25, 'month': 3, 'year': 2014}}, 'string': 'Jan 7, 2014 to Mar 25, 2014'}",24 min per ep,PG-13 - Teens 13 or older,7.5,199970,1847,587,391456,2353,"The Kazama Family—a gang of three wannabe delinquents and close friends, spearheaded by Kenji Kazama, is trying to make a name for themselves at Fujou Academy. On the first day of the term, the gang finds themselves putting out a fire in the Game Development Club. Instead of thanking them, the eccentric club members attack and knock out Kenji's two friends, forcing Kenji to fight for his life. Failing to escape, the gang leader is coerced into joining the Game Development Club.

As he settles in, Kenji gets to know the four girls responsible for his provisional membership—student council president and general tyrant Chitose Karasuyama, spirited tomboy Sakura Mizukami, negligent club advisor Minami Oosawa, and the school's infamous shadow leader Roka Shibasaki. Throughout the Game Development Club's constant shenanigans and his desperate attempts to leave the club, Kenji begins to realize that he may be actually enjoying himself.

[Written by MAL Rewrite]",D-Frag! adapts content from the first 5 volumes of Tomoya Haruno's manga of the same name.,winter,2014,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}","TV Tokyo,Media Factory,Kadokawa Shoten,AT-X,DAX Production,Sony Music Communications,Toranoana",Funimation,Brain's Base,Comedy,,"School,Strategy Game",Seinen,",","{'openings': ['""Stalemate! (すているめいと!)"" by IOSYS jk Girls (eps 2-12)'], 'endings': ['1: ""Stalemate! (すているめいと!)"" by IOSYS jk Girls (eps 1)', '2: ""Minna no Namae wo Irete Kudasai (ミンナノナマエヲイレテクダサイ)"" by Roka Shibasaki (CV: Kana Hanazawa), Takao (CV: Shizuka Itou) & Funabori (CV: Aki Toyosaki) (eps 2-12)']}","Official Site,AniDB,ANN,Wikipedia","Crunchyroll,Funimation"
