id,title,start_date,end_date,statistics
37175,Mi Yu Xingzhe,2018-02-03,2018-04-21,"{'status': {'watching': '1953', 'completed': '7263', 'on_hold': '639', 'dropped': '681', 'plan_to_watch': '10359'}, 'num_list_users': 20895}"
37176,Doupo Cangqiong 2nd Season,2018-03-03,2018-05-13,"{'status': {'watching': '720', 'completed': '7319', 'on_hold': '131', 'dropped': '221', 'plan_to_watch': '1267'}, 'num_list_users': 9658}"
37177,Da Shi Jie,2018-01-12,2018-01-12,"{'status': {'watching': '45', 'completed': '305', 'on_hold': '19', 'dropped': '62', 'plan_to_watch': '586'}, 'num_list_users': 1017}"
37178,Kiratto Pri☆chan,2018-04-08,2019-03-31,"{'status': {'watching': '811', 'completed': '1410', 'on_hold': '356', 'dropped': '515', 'plan_to_watch': '2963'}, 'num_list_users': 6055}"
37179,Mao Yu Tao Hua Yuan,2018-04-05,2018-04-05,"{'status': {'watching': '42', 'completed': '190', 'on_hold': '11', 'dropped': '70', 'plan_to_watch': '625'}, 'num_list_users': 938}"
37180,A Tang Qi Yu,2017-07-21,2017-07-21,"{'status': {'watching': '15', 'completed': '170', 'on_hold': '9', 'dropped': '84', 'plan_to_watch': '136'}, 'num_list_users': 414}"
37181,Guomin Laogong Dai Huijia 3rd Season,2017-10-25,2018-01-10,"{'status': {'watching': '616', 'completed': '1582', 'on_hold': '216', 'dropped': '236', 'plan_to_watch': '2371'}, 'num_list_users': 5021}"
37184,Ze Tian Ji 2nd Season,2016-07-20,2016-10-05,"{'status': {'watching': '312', 'completed': '2408', 'on_hold': '74', 'dropped': '125', 'plan_to_watch': '908'}, 'num_list_users': 3827}"
37185,Ze Tian Ji 3rd Season,2017-07-26,2017-10-11,"{'status': {'watching': '332', 'completed': '1763', 'on_hold': '101', 'dropped': '140', 'plan_to_watch': '988'}, 'num_list_users': 3324}"
37186,Mang Huang Ji,2015-04-04,2015-08-08,"{'status': {'watching': '351', 'completed': '637', 'on_hold': '70', 'dropped': '183', 'plan_to_watch': '717'}, 'num_list_users': 1958}"
37187,Kuiba Yao Xia Zhuan,2014-07-19,2014-12-27,"{'status': {'watching': '36', 'completed': '102', 'on_hold': '11', 'dropped': '56', 'plan_to_watch': '234'}, 'num_list_users': 439}"
37188,Fumikiri Jikan,2018-04-10,2018-06-26,"{'status': {'watching': '3065', 'completed': '24367', 'on_hold': '966', 'dropped': '2148', 'plan_to_watch': '12385'}, 'num_list_users': 42931}"
37189,Morinaga Nyuugyou x Mary to Majo no Hana,2017-04-06,2017,"{'status': {'watching': '82', 'completed': '735', 'on_hold': '46', 'dropped': '79', 'plan_to_watch': '845'}, 'num_list_users': 1787}"
37190,Karasu to Kaki no Tane,1966-10-05,1966-10-05,"{'status': {'watching': '17', 'completed': '140', 'on_hold': '3', 'dropped': '35', 'plan_to_watch': '35'}, 'num_list_users': 230}"
37191,Yoninme no Ousama,1967-08-07,1967-08-07,"{'status': {'watching': '17', 'completed': '212', 'on_hold': '3', 'dropped': '37', 'plan_to_watch': '46'}, 'num_list_users': 315}"
37192,Kazaguruma,1984-08-01,1984-08-01,"{'status': {'watching': '14', 'completed': '186', 'on_hold': '1', 'dropped': '31', 'plan_to_watch': '52'}, 'num_list_users': 284}"
37193,Ni ga Mushi Ojisan,1987-12-02,1987-12-02,"{'status': {'watching': '13', 'completed': '136', 'on_hold': '1', 'dropped': '32', 'plan_to_watch': '39'}, 'num_list_users': 221}"
37194,Arigatou,1995-02-04,1995-02-04,"{'status': {'watching': '9', 'completed': '134', 'on_hold': '6', 'dropped': '56', 'plan_to_watch': '58'}, 'num_list_users': 263}"
37195,Arigatou (2010),2010-02-01,2010-02-01,"{'status': {'watching': '10', 'completed': '178', 'on_hold': 0, 'dropped': '40', 'plan_to_watch': '52'}, 'num_list_users': 280}"
37196,Hana (Music),2008-02-01,2008-02-01,"{'status': {'watching': '17', 'completed': '204', 'on_hold': '4', 'dropped': '26', 'plan_to_watch': '78'}, 'num_list_users': 329}"
37197,Shippo no Kimochi,1986-08-02,1986-08-02,"{'status': {'watching': '15', 'completed': '275', 'on_hold': 0, 'dropped': '27', 'plan_to_watch': '78'}, 'num_list_users': 395}"
37198,Senaka de Twist,1989-12-02,1989-12-02,"{'status': {'watching': '12', 'completed': '146', 'on_hold': '1', 'dropped': '32', 'plan_to_watch': '37'}, 'num_list_users': 228}"
37202,Radiant,2018-10-06,2019-02-23,"{'status': {'watching': '23081', 'completed': '94142', 'on_hold': '10425', 'dropped': '23970', 'plan_to_watch': '60442'}, 'num_list_users': 212060}"
37204,Aikatsu Friends!,2018-04-05,2019-03-28,"{'status': {'watching': '1356', 'completed': '3920', 'on_hold': '688', 'dropped': '1010', 'plan_to_watch': '5159'}, 'num_list_users': 12133}"
37206,Anima Yell!,2018-10-07,2018-12-23,"{'status': {'watching': '2794', 'completed': '19555', 'on_hold': '1576', 'dropped': '3195', 'plan_to_watch': '16549'}, 'num_list_users': 43669}"
37207,Zuori Qing Kong,2018-10-26,2018-10-26,"{'status': {'watching': '436', 'completed': '3501', 'on_hold': '178', 'dropped': '171', 'plan_to_watch': '7540'}, 'num_list_users': 11826}"
37208,Mo Dao Zu Shi,2018-07-09,2018-10-06,"{'status': {'watching': '19281', 'completed': '97666', 'on_hold': '6912', 'dropped': '6957', 'plan_to_watch': '99452'}, 'num_list_users': 230268}"
37209,Sheng Shi Zhuang Niang,2018-07-24,2018-12-04,"{'status': {'watching': '655', 'completed': '1821', 'on_hold': '216', 'dropped': '383', 'plan_to_watch': '2809'}, 'num_list_users': 5884}"
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,2018-07-05,2018-09-20,"{'status': {'watching': '37936', 'completed': '559208', 'on_hold': '9987', 'dropped': '24163', 'plan_to_watch': '91211'}, 'num_list_users': 722505}"
37212,Mirai no Hito e,2018-01-26,2018-01-26,"{'status': {'watching': '9', 'completed': '180', 'on_hold': '2', 'dropped': '18', 'plan_to_watch': '56'}, 'num_list_users': 265}"
37215,The iDOLM@STER Cinderella Girls: 5th Live Tour Serendipity Parade!!! Manner Movie,2017-08-12,2017-08-12,"{'status': {'watching': '35', 'completed': '275', 'on_hold': '20', 'dropped': '59', 'plan_to_watch': '493'}, 'num_list_users': 882}"
37217,Heat Meat Up: Kokusan Sengen,2015-02-27,2015-02-27,"{'status': {'watching': '11', 'completed': '176', 'on_hold': '5', 'dropped': '24', 'plan_to_watch': '100'}, 'num_list_users': 316}"
37219,Xiongmao He Xiao Yan Shu,2016-03-28,2017,"{'status': {'watching': '8', 'completed': '97', 'on_hold': '6', 'dropped': '61', 'plan_to_watch': '47'}, 'num_list_users': 219}"
37221,Release the Spyce,2018-10-07,2018-12-23,"{'status': {'watching': '5737', 'completed': '28620', 'on_hold': '2785', 'dropped': '6209', 'plan_to_watch': '29298'}, 'num_list_users': 72649}"
37222,Tsun M! Gyutto Shibatte Shidoushite The Animation,2018-04-27,2018-04-27,"{'status': {'watching': '688', 'completed': '1983', 'on_hold': '268', 'dropped': '188', 'plan_to_watch': '1306'}, 'num_list_users': 4433}"
37223,Ore ga Kanojo wo *su Wake,2018-04-27,2019-11-29,"{'status': {'watching': '1612', 'completed': '5586', 'on_hold': '617', 'dropped': '547', 'plan_to_watch': '2275'}, 'num_list_users': 10637}"
37224,JK to Inkou Kyoushi 4 feat. Ero Giin-sensei,2018-04-27,2018-08-31,"{'status': {'watching': '807', 'completed': '1974', 'on_hold': '330', 'dropped': '222', 'plan_to_watch': '1593'}, 'num_list_users': 4926}"
37225,Xiao Hua Xian,2014-02-14,2014-05-10,"{'status': {'watching': '32', 'completed': '151', 'on_hold': '17', 'dropped': '75', 'plan_to_watch': '272'}, 'num_list_users': 547}"
37228,Tian Shu Qi Tan,1983,1983,"{'status': {'watching': '14', 'completed': '83', 'on_hold': '7', 'dropped': '35', 'plan_to_watch': '78'}, 'num_list_users': 217}"
37232,Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,2018-10-11,2018-12-27,"{'status': {'watching': '3033', 'completed': '10364', 'on_hold': '1430', 'dropped': '4521', 'plan_to_watch': '11799'}, 'num_list_users': 31147}"
37233,Muttsuri Dosukebe Tsuyu Gibo Shimai no Honshitsu Minuite Sex Sanmai,2018-06-01,2018-07-06,"{'status': {'watching': '1614', 'completed': '10971', 'on_hold': '662', 'dropped': '513', 'plan_to_watch': '3308'}, 'num_list_users': 17068}"
37241,Aware! Meisaku-kun: Human Academy Robot Kyoushitsu,2018-02-01,2018-02-01,"{'status': {'watching': '25', 'completed': '80', 'on_hold': '12', 'dropped': '85', 'plan_to_watch': '76'}, 'num_list_users': 278}"
37242,Hoshi to Tsubasa no Paradox,2018-02-07,2018-11-07,"{'status': {'watching': '61', 'completed': '281', 'on_hold': '14', 'dropped': '46', 'plan_to_watch': '491'}, 'num_list_users': 893}"
37243,Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen,2018-02-02,2018-02-02,"{'status': {'watching': '30', 'completed': '467', 'on_hold': '6', 'dropped': '51', 'plan_to_watch': '199'}, 'num_list_users': 753}"
37244,Gan Gan Ganko-chan 2nd Season,2018-02-04,2018-03-25,"{'status': {'watching': '17', 'completed': '79', 'on_hold': '11', 'dropped': '86', 'plan_to_watch': '91'}, 'num_list_users': 284}"
37245,Gundam Build Divers,2018-04-03,2018-09-25,"{'status': {'watching': '3542', 'completed': '16371', 'on_hold': '1126', 'dropped': '2831', 'plan_to_watch': '7401'}, 'num_list_users': 31271}"
37246,"Moshimoshi, Terumi desu.",2018-06-08,2018-08-24,"{'status': {'watching': '26', 'completed': '91', 'on_hold': '13', 'dropped': '61', 'plan_to_watch': '447'}, 'num_list_users': 638}"
37247,Gundam Build Divers Prologue,2018-02-02,2018-02-02,"{'status': {'watching': '201', 'completed': '5909', 'on_hold': '78', 'dropped': '121', 'plan_to_watch': '1340'}, 'num_list_users': 7649}"
37249,DC Super Heroes vs Taka no Tsumedan Promotion Eizou,2018-02-02,2018-02-02,"{'status': {'watching': '34', 'completed': '386', 'on_hold': '20', 'dropped': '90', 'plan_to_watch': '258'}, 'num_list_users': 788}"
37254,Last Period: Owarinaki Rasen no Monogatari,2018-04-12,2018-06-28,"{'status': {'watching': '3543', 'completed': '12308', 'on_hold': '1493', 'dropped': '4473', 'plan_to_watch': '17115'}, 'num_list_users': 38932}"
37255,Genki Genki Non-tan: Obake Mura Meiro,2015-06-03,2015-06-03,"{'status': {'watching': '14', 'completed': '65', 'on_hold': '4', 'dropped': '53', 'plan_to_watch': '55'}, 'num_list_users': 191}"
37256,Chainsaw Bunny: Deleted Scene,2018-08-01,2018-08-01,"{'status': {'watching': '28', 'completed': '935', 'on_hold': '11', 'dropped': '77', 'plan_to_watch': '236'}, 'num_list_users': 1287}"
37258,Omae wa Mada Gunma wo Shiranai,2018-04-02,2018-06-18,"{'status': {'watching': '1188', 'completed': '6368', 'on_hold': '431', 'dropped': '1878', 'plan_to_watch': '4324'}, 'num_list_users': 14189}"
37259,Hanebado!,2018-07-02,2018-10-01,"{'status': {'watching': '11784', 'completed': '86180', 'on_hold': '5449', 'dropped': '12271', 'plan_to_watch': '40943'}, 'num_list_users': 156627}"
