mal_id,url,images,trailer,approved,titles,title,title_english,title_japanese,title_synonyms,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,season,year,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics,relations,theme,external,streaming
10000,https://myanimelist.net/anime/10000/Esper_Mami_Special__My_Angel_Mami-chan,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/2/27652.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/2/27652t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/2/27652l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/2/27652.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/2/27652t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/2/27652l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",",Esper Mami Special: My Angel Mami-chan,,エスパー魔美スペシャル マイエンジェル魔美ちゃん,,Special,Unknown,1,Finished Airing,False,"{'from': '1988-12-27T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 27, 'month': 12, 'year': 1988}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Dec 27, 1988'}",23 min,PG-13 - Teens 13 or older,6.2,126,8533,15662,536,1,"An end-of-year special, aired between episodes 84 and 85.",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,Shin-Ei Animation,"Comedy,Supernatural",,Super Power,,,"{'openings': [], 'endings': []}","Official Site,AniDB,Wikipedia",
10003,https://myanimelist.net/anime/10003/Kago_Shintarou_Anime_Sakuhin_Shuu,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/27656.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/27656t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/27656l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/27656.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/27656t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/27656l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Kago Shintarou Anime Sakuhin Shuu,,駕籠真太郎アニメ作品集,['Short Animation of Shintaro Kago'],OVA,Original,15,Finished Airing,False,"{'from': '2008-01-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 1, 'year': 2008}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': '2008'}",2 min per ep,R+ - Mild Nudity,4.8,1847,12853,7787,6076,10,"In these jokey short films, many of them crudely animated, Kago's sick sense of humor reaches its full heights of absurdity. There's a playful surrealist sensibility to Kago's work, as well as a tendency to revel in the ridiculous, the crude and the disturbing. His work straddles a weird boundary between avant-garde experimentation and low-brow fart jokes—the punchline of one of these films is literally an oozing torrent of shit—although, admittedly, his videos seem to lean a bit more heavily towards the fart jokes than his comics. But hey, who doesn't appreciate a good fart joke once in a while?

(Source: Only the Cinema blog)",Episodes 16 and 17 in the series are comprised of live-action footage.,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,,"Avant Garde,Comedy,Horror",,,,,"{'openings': [], 'endings': []}","Official Site,AniDB",
10005,https://myanimelist.net/anime/10005/Tetsujin_28-gou__Hakuchuu_no_Zangetsu,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/7/27668.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/7/27668t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/7/27668l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/7/27668.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/7/27668t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/7/27668l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,,",Tetsujin 28-gou: Hakuchuu no Zangetsu,,鉄人２８号 白昼の残月,"['Tetsujin 28-go: Hakuchuu no Zangetsu', 'Tetsujin 28: The Lingering Moon of Midday', 'Tetsujin #28: The Daytime Moon', 'Tetsujin28: Morning Moon of Mid-day']",Movie,Unknown,1,Finished Airing,False,"{'from': '2007-03-31T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 31, 'month': 3, 'year': 2007}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Mar 31, 2007'}",1 hr 35 min,G - All Ages,6.38,367,7519,12726,1202,2,"This theatrical version based on the manga by Yokoyama Mitsuteru, deals with the genius boy detective Kaneda Shotaro and his giant robot, Tetsujin 28, set in Tokyo ten years after the end of the Second World War.

Shotaro's missing brother appears as a a new character who was trained as a pilot of the soldier robot Tetsujin which Japan had created for the Second World War. However, with the end of the war, there was nothing left for him but a peaceful Japan. In the meantime, ""Destruction Bombs"" are found in many places in Tokyo. The bombs were developed by Professor Kaneda, the creator of Tetsujin 28 and Shotaro's father, as the ultimate weapons to protect the mainland. If the bombs explode, Tokyo will be reduced to ashes.",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,Discotek Media,Palm Studio,"Action,Adventure,Sci-Fi",,Mecha,,,"{'openings': [], 'endings': []}","Official Site,AniDB,ANN,Wikipedia",Crunchyroll
10012,https://myanimelist.net/anime/10012/Carnival_Phantasm,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1018/92921l.webp'}}","{'youtube_id': 'rIjRh9uwtD0', 'url': 'https://www.youtube.com/watch?v=rIjRh9uwtD0', 'embed_url': 'https://www.youtube.com/embed/rIjRh9uwtD0?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/rIjRh9uwtD0/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/rIjRh9uwtD0/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/rIjRh9uwtD0/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/rIjRh9uwtD0/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/rIjRh9uwtD0/maxresdefault.jpg'}}",True,",,",Carnival Phantasm,,カーニバル・ファンタズム,['Carnival Phantasm'],OVA,Manga,12,Finished Airing,False,"{'from': '2011-08-14T00:00:00+00:00', 'to': '2011-12-31T00:00:00+00:00', 'prop': {'from': {'day': 14, 'month': 8, 'year': 2011}, 'to': {'day': 31, 'month': 12, 'year': 2011}}, 'string': 'Aug 14, 2011 to Dec 31, 2011'}",14 min per ep,PG-13 - Teens 13 or older,7.87,96618,846,1212,197377,1599,"The Carnival Moment is a time when several narratives from Type-Moon's famous works intersect. It happens every decade in an entirely new dimension, and those who have never run into each other can meet. And what's more, all individuals involved gain the opportunity to fulfill any of their wishes! However, they will have to come a long way, as they will need to partake in contests.

In Carnival Phantasm, various characters are put into situations that ridicule their own worlds. Nevertheless, they all have the same objective: to win the contests by any means necessary!

[Written by MAL Rewrite]",Carnival Phantasm was made in celebration of Type-Moon's 10th anniversary.,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}","Bandai Visual,Notes",,Lerche,"Comedy,Supernatural",,Parody,,",,,","{'openings': ['""Super☆Affection (すーぱー☆あふぇくしょん)"" by Minami Kuribayashi, Miyuki Hashimoto, Faylan, Aki Misato, yozuca*, rino'], 'endings': ['1: ""Fellows"" by Masaaki Endoh (eps 1-10, 12)', '2: ""FINAL DEAD LANCER"" by Yasuharu Takanashi (eps 11)']}","Official Site,AniDB,ANN,Wikipedia",
10013,https://myanimelist.net/anime/10013/Shouwa_Monogatari_Movie,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/8/41119.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/8/41119t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/8/41119l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/8/41119.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/8/41119t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/8/41119l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Shouwa Monogatari (Movie),,昭和物語,['Showa Monogatari'],Movie,Unknown,1,Finished Airing,False,"{'from': '2011-01-29T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 29, 'month': 1, 'year': 2011}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Jan 29, 2011'}",1 hr 36 min,PG - Children,6.46,515,7071,11628,1741,1,"Dramatic story of the Yamazaki family during the year Showa 39 (1964), the year that Tokyo hosted the Summer Olympics.",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,WAO World,Drama,,Historical,,,"{'openings': [], 'endings': []}","Official Site,AniDB,ANN",
10014,https://myanimelist.net/anime/10014/Shouwa_Monogatari,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/5/41117.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/5/41117t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/5/41117l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/5/41117.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/5/41117t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/5/41117l.webp'}}","{'youtube_id': '6g_fSgrmjys', 'url': 'https://www.youtube.com/watch?v=6g_fSgrmjys', 'embed_url': 'https://www.youtube.com/embed/6g_fSgrmjys?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/6g_fSgrmjys/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/6g_fSgrmjys/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/6g_fSgrmjys/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/6g_fSgrmjys/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/6g_fSgrmjys/maxresdefault.jpg'}}",True,",,,",Shouwa Monogatari,,昭和物語 TV,"['Showa Monogatari TV', 'TV Manga Shouwa Monogatari']",TV,Original,13,Finished Airing,False,"{'from': '2011-04-04T00:00:00+00:00', 'to': '2011-06-26T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 4, 'year': 2011}, 'to': {'day': 26, 'month': 6, 'year': 2011}}, 'string': 'Apr 4, 2011 to Jun 26, 2011'}",22 min per ep,PG - Children,6.85,1537,4947,7950,5780,7,"Dramatic story of the Yamazaki family during the year Showa 39 (1964), the year that Tokyo hosted the Summer Olympics.",,spring,2011,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",,,WAO World,Drama,,Historical,,,"{'openings': [], 'endings': ['1: ""Toukyou Gorin Ondo (東京五輪音頭)"" by Haruo Minami (eps 1,13)', '2: ""Utsukushii Juudai (美しい十代)"" by Akira Mita (eps 2)', '3: ""Nagaiki Chonpa (Funabashi Health Center) (長生きチョンパ (船橋ヘルスセンター))"" by Toshie Kusunoki (eps 3)', '4: ""Boku wa Nai Chicchi (僕は泣いちっち)"" by Hiroshi Moriya (eps 4)', '5: ""Aa Ueno Eki (あゝ上野駅)"" by Hachirou Izawa (eps 5)', '6: ""Hondara Koushinkyoku (ホンダラ行進曲)"" by Hajime Hana & Crazy Cats (eps 6)', '7: ""Koi no Vacance (恋のバカンス)"" by The Peanuts (eps 7)', '8: ""VACATION"" by Mieko Hirota (eps 8)', '9: ""Sudara Bushi (スーダラ節)"" by Hitoshi Ueki (eps 9)', '10: ""Furimukanaide (ふりむかないで)"" by The Peanuts (eps 10)', '11: ""Yoake no Uta (夜明けのうた)"" by Youko Kishi (eps 11)', '12: ""Nanimo Iwanaide (何も云わないで)"" by Mari Sono (eps 12)']}","Official Site,AniDB,ANN,Wikipedia",
10015,https://myanimelist.net/anime/10015/Yu☆Gi☆Oh_Zexal,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/40295.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/40295t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/40295l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/40295.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/40295t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/40295l.webp'}}","{'youtube_id': '7bkEzfNgjlE', 'url': 'https://www.youtube.com/watch?v=7bkEzfNgjlE', 'embed_url': 'https://www.youtube.com/embed/7bkEzfNgjlE?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/7bkEzfNgjlE/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/7bkEzfNgjlE/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/7bkEzfNgjlE/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/7bkEzfNgjlE/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/7bkEzfNgjlE/maxresdefault.jpg'}}",True,",,,,,,,,,",Yu☆Gi☆Oh! Zexal,Yu-Gi-Oh! Zexal,遊☆戯☆王ZEXAL,"['Yugioh', 'Yuu Gi Ou! Zexal', 'Yu-Gi-Oh! Zeal', 'Yu-Gi-Oh! Zexal']",TV,Manga,73,Finished Airing,False,"{'from': '2011-04-11T00:00:00+00:00', 'to': '2012-09-24T00:00:00+00:00', 'prop': {'from': {'day': 11, 'month': 4, 'year': 2011}, 'to': {'day': 24, 'month': 9, 'year': 2012}}, 'string': 'Apr 11, 2011 to Sep 24, 2012'}",24 min per ep,PG-13 - Teens 13 or older,6.42,44709,7351,2409,78023,324,"In the bustling and futuristic city of Heartland, a young boy named Yuuma Tsukumo has a dream that everyone his age wants to achieve—earning the title of the greatest duelist! Sadly, due to his lackluster dueling skills, this dream is far from achievable. But when the school bully, Ryouga ""Shark"" Kamishiro, splits the key given to him by his father into two pieces, he inadvertently sets Yuuma on a collision course with his dream.

Retaining one half of the key, Yuuma begins a duel with Shark, but soon realizes that his inexperienced skills are no match for him. In a sudden turn of events, Yuuma's key repairs itself, and the ""Door of Destiny'' appears before him. Using the key to open it, Yuuma is greeted by an alien by the name of Astral—a being only he can see. 

The bewildered Yuuma soon learns that his memories have been divided into 100 ""Number Cards,"" all of which he must retrieve. However, he is also not the only one looking for them. Bombarded by these revelations, Yuuma, alongside Astral, must defend the world from the upcoming threats that loom over Heartland City—regardless of any divine intervention that may occur. 

[Written by MAL Rewrite]","Yu☆Gi☆Oh! Zexal, the fourth anime installment of the Yu☆Gi☆Oh! franchise, introduced the concept of XYZ Monsters to the series. It was the first Yu☆Gi☆Oh! anime to have every episode dubbed in English since Yu☆Gi☆Oh! Duel Monsters.",spring,2011,"{'day': 'Mondays', 'time': '19:30', 'timezone': 'Asia/Tokyo', 'string': 'Mondays at 19:30 (JST)'}","TV Tokyo,Marvelous Entertainment,Nihon Ad Systems,Konami Cross Media NY",4Kids Entertainment,Gallop,"Action,Fantasy",,Strategy Game,Shounen,",,,","{'openings': ['1: ""Masterpiece (マスターピース)"" by mihimaru GT (eps 1-25)', '2: ""BRAVING!"" by KANAN (eps 26-49)', '3: ""Tamashii Drive (魂ドライブ)"" by Color Bottle (カラーボトル) (eps 50-73)'], 'endings': ['1: ""Boku Quest (僕クエスト)"" by Golden Bomber (eps 1-25)', '2: ""Setsubou no Freesia (切望のフリージア; Freesia of Longing)"""" by DaizyStripper (eps 26-49)', '3: ""Wild Child (ワイルド・チャイルド)"" by moumoon (eps 50-73)']}","Official Site,AniDB,ANN,Wikipedia",Crunchyroll
10016,https://myanimelist.net/anime/10016/Kizuna_Ichigeki,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1923/133888l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,,",Kizuna Ichigeki,,キズナ 一撃,"['Wakate Animator Ikusei Project', '2010 Young Animator Training Project', 'Anime Mirai 2010', 'Project A']",Movie,Original,1,Finished Airing,False,"{'from': '2011-03-05T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 5, 'month': 3, 'year': 2011}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Mar 5, 2011'}",24 min,G - All Ages,6.5,3566,6874,7659,6346,3,"Shortly after winning the World Martial Arts Tournament and using the winnings to pay off her grandfather's one hundred million yen debt, a reporter shows up on Kizuna Todoroki's doorstep. Impressed that such a young girl was able to defeat the 10-year reigning champion, the reporter wants to interview Kizuna for a piece on her and the Wadachi Ju-ken school of martial arts founded by Kizuna's grandfather.

However, before the interview can end, challengers begin to appear at the Todoroki household. After hearing that Kizuna is only 12, they hope to defeat her before her 13th birthday to usurp her position as the world champion. As dozens of challengers appear, Kizuna struggles to bring them all down, while the reporter learns more about the Todoroki family.

[Written by MAL Rewrite]",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",Imagine,,Ascension,Comedy,,Martial Arts,,,"{'openings': [], 'endings': []}","Official Site,AniDB,ANN,Wikipedia",
10017,https://myanimelist.net/anime/10017/Dragon_Ball__Super_Saiya-jin_Zetsumetsu_Keikaku,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1131/122382l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,",Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,Dragon Ball Z: Plan to Eradicate the Super Saiyans,ドラゴンボール　超サイヤ人絶滅計画,['Dragon Ball Z: Plan to Eradicate Super Saiyans OVA Remake'],OVA,Manga,1,Finished Airing,False,"{'from': '2010-11-11T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 11, 'month': 11, 'year': 2010}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Nov 11, 2010'}",30 min,PG-13 - Teens 13 or older,6.58,23960,6399,3377,42915,14,Remake of Dragon Ball Z: Plan to Destroy the Saiyajin. Extra on Dragonball Raging Blast 2 game on X360/PS3.,,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,Toei Animation,"Adventure,Fantasy,Sci-Fi",,"Martial Arts,Super Power",Shounen,",","{'openings': [], 'endings': []}",AniDB,
10020,https://myanimelist.net/anime/10020/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/8/29734.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/8/29734t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/8/29734l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/8/29734.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/8/29734t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/8/29734l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,",Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,OreImo Specials,俺の妹がこんなに可愛いわけがない,"[""My Little Sister Can't Be This Cute Specials""]",ONA,Light novel,4,Finished Airing,False,"{'from': '2011-02-22T00:00:00+00:00', 'to': '2011-05-31T00:00:00+00:00', 'prop': {'from': {'day': 22, 'month': 2, 'year': 2011}, 'to': {'day': 31, 'month': 5, 'year': 2011}}, 'string': 'Feb 22, 2011 to May 31, 2011'}",28 min per ep,PG-13 - Teens 13 or older,7.33,121081,2555,1245,190466,208,"The true end arc of Ore no Imouto. These four episodes branch out after the 11th episode of the main TV series and present an alternative version to the end of the TV series. These episodes contrast with the good end arc of the TV series, which was an original ending written for the anime, and instead closely follows the original story from the light novels.",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}","Aniplex,AIC,Movic,ASCII Media Works,Bandai Namco Games",Aniplex of America,AIC Build,"Comedy,Romance",,Otaku Culture,,",,,","{'openings': ['""irony"" by ClariS'], 'endings': ['1: ""READY"" by Ayana Taketatsu (eps 1)', '2: ""†Inochi Mijikashi Koi se yo Otome† (†命短し恋せよ乙女†)"" by Kana Hanazawa (eps 2)', '3: ""Shokuzai no Serenade (贖罪のセレナーデ)"" by Kana Hanazawa and Yuuichi Nakamura (eps 3)', '4: ""keep on runnin\' "" by Ayana Taketatsu (eps 4)']}","Official Site,AniDB,ANN,Wikipedia",
