id,title,start_date,end_date,statistics
47281,Xifan Yuyan,2016,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '10'}, 'num_list_users': 60}"
47282,Xifan Shi Wan Ge Weisheme,2016,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': 0, 'dropped': '22', 'plan_to_watch': '12'}, 'num_list_users': 62}"
47283,Lao Ba Te Fannao,2016,,"{'status': {'watching': '6', 'completed': '31', 'on_hold': '3', 'dropped': '18', 'plan_to_watch': '15'}, 'num_list_users': 73}"
47284,Chun Ya Baobei,2016,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '14'}, 'num_list_users': 64}"
47285,Senba Xingfu Dao,2016-11-21,2016-12-22,"{'status': {'watching': '2', 'completed': '28', 'on_hold': '3', 'dropped': '27', 'plan_to_watch': '21'}, 'num_list_users': 81}"
47286,Si Lu Gongzhu,2016,,"{'status': {'watching': '3', 'completed': '23', 'on_hold': '1', 'dropped': '18', 'plan_to_watch': '14'}, 'num_list_users': 59}"
47287,Weilai Xifu Bendi Lang,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '14', 'plan_to_watch': '12'}, 'num_list_users': 54}"
47288,Tiancai Lianmeng,2016-11-09,2017-01-25,"{'status': {'watching': '2', 'completed': '29', 'on_hold': '2', 'dropped': '22', 'plan_to_watch': '19'}, 'num_list_users': 74}"
47289,I Laohu You,2016-12-03,,"{'status': {'watching': '2', 'completed': '29', 'on_hold': '1', 'dropped': '24', 'plan_to_watch': '17'}, 'num_list_users': 73}"
47290,Dagui Jiang,,,"{'status': {'watching': '5', 'completed': '32', 'on_hold': 0, 'dropped': '13', 'plan_to_watch': '11'}, 'num_list_users': 61}"
47291,Cheng Chang Bu Fannao,2016,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '1', 'dropped': '21', 'plan_to_watch': '12'}, 'num_list_users': 62}"
47292,Wanmei Shijie Shuang Shi Ji,2016-04-17,2016-05-22,"{'status': {'watching': '4', 'completed': '31', 'on_hold': '2', 'dropped': '16', 'plan_to_watch': '18'}, 'num_list_users': 71}"
47293,Piaoyi Dao: Tiankong Lixian Ji,2016-02-22,,"{'status': {'watching': '2', 'completed': '21', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '12'}, 'num_list_users': 56}"
47294,Huan Yue Da Lianmeng,2016-07-01,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '13'}, 'num_list_users': 61}"
47296,Jiayou Ba! San Er Ban,2015-10-01,2015-10-05,"{'status': {'watching': '3', 'completed': '27', 'on_hold': '3', 'dropped': '25', 'plan_to_watch': '21'}, 'num_list_users': 79}"
47297,Jiayou Ba! San Er Ban 2nd Season,2016-02,,"{'status': {'watching': '3', 'completed': '22', 'on_hold': '1', 'dropped': '19', 'plan_to_watch': '14'}, 'num_list_users': 59}"
47298,Dou Dao,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '2', 'dropped': '20', 'plan_to_watch': '11'}, 'num_list_users': 60}"
47300,Zhongguo Qiao Guniang: Huangdao Po,2017,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': 0, 'dropped': '20', 'plan_to_watch': '13'}, 'num_list_users': 58}"
47301,Renyu Ruqin,2016-09-29,2016-09-29,"{'status': {'watching': '8', 'completed': '51', 'on_hold': '3', 'dropped': '14', 'plan_to_watch': '33'}, 'num_list_users': 109}"
47302,Ling Shi Mao Xian Wang,2016-06-20,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '2', 'dropped': '22', 'plan_to_watch': '12'}, 'num_list_users': 61}"
47303,Zhenbao Dang An,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '21', 'plan_to_watch': '11'}, 'num_list_users': 60}"
47304,Shengxiao Baobei,2016-09-19,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '1', 'dropped': '19', 'plan_to_watch': '11'}, 'num_list_users': 56}"
47307,Shin Gengou Nyankogelion,2021-01-22,2021-01-22,"{'status': {'watching': '61', 'completed': '2739', 'on_hold': '35', 'dropped': '61', 'plan_to_watch': '389'}, 'num_list_users': 3285}"
47314,"Hi, Goodbye",2015-12-29,2016-04-08,"{'status': {'watching': '2', 'completed': '28', 'on_hold': '1', 'dropped': '23', 'plan_to_watch': '18'}, 'num_list_users': 72}"
47315,"Hi, Goodbye: Ai Zui Zhengui",2019,,"{'status': {'watching': '2', 'completed': '22', 'on_hold': 0, 'dropped': '21', 'plan_to_watch': '11'}, 'num_list_users': 56}"
47317,"Hi, Goodbye: Kuaile Chengzhang",2020,,"{'status': {'watching': '2', 'completed': '22', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '12'}, 'num_list_users': 57}"
47318,"Hi, Goodbye: Shuqi Qushi",2019,,"{'status': {'watching': '2', 'completed': '22', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '11'}, 'num_list_users': 56}"
47319,"Hi, Goodbye: Qimiao Shenghuo",2019-04-26,,"{'status': {'watching': '2', 'completed': '28', 'on_hold': 0, 'dropped': '25', 'plan_to_watch': '17'}, 'num_list_users': 72}"
47320,Jiang Lu Xiao Hongjun,2016-09-01,,"{'status': {'watching': '2', 'completed': '21', 'on_hold': 0, 'dropped': '22', 'plan_to_watch': '12'}, 'num_list_users': 57}"
47321,Ling Ba Xue Tang,2016-10-17,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '1', 'dropped': '24', 'plan_to_watch': '11'}, 'num_list_users': 63}"
47322,Ling Ba Xue Tang: Bei Chi Diao de Chengyu Xilie,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '2', 'dropped': '21', 'plan_to_watch': '10'}, 'num_list_users': 60}"
47323,Cong Cong Zhihui Dao,2016-10-28,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '10'}, 'num_list_users': 61}"
47324,Bu Fei Tongxue,2013-07,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '23', 'plan_to_watch': '10'}, 'num_list_users': 61}"
47325,Mofa Xiao Kuihua,,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '2', 'dropped': '19', 'plan_to_watch': '9'}, 'num_list_users': 55}"
47326,Babo Xiongmao Chengyu Xilie,,,"{'status': {'watching': '3', 'completed': '27', 'on_hold': '1', 'dropped': '26', 'plan_to_watch': '11'}, 'num_list_users': 68}"
47327,Zhu Zai Yang Mei Xun Lin Ji,,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '10'}, 'num_list_users': 56}"
47328,Q Tao Xiao Ka Xiu,2016-08-01,,"{'status': {'watching': '3', 'completed': '33', 'on_hold': '3', 'dropped': '23', 'plan_to_watch': '13'}, 'num_list_users': 75}"
47329,Aoyun Quwen,,,"{'status': {'watching': '2', 'completed': '31', 'on_hold': '3', 'dropped': '30', 'plan_to_watch': '9'}, 'num_list_users': 75}"
47330,Zhen Hai Baowei Zhan,2016,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '9'}, 'num_list_users': 59}"
47331,Guaiwu Gongyu,,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '2', 'dropped': '18', 'plan_to_watch': '8'}, 'num_list_users': 55}"
47332,Guaiwu Gongyu: Zhanxin Shenghuo,,,"{'status': {'watching': '3', 'completed': '25', 'on_hold': '2', 'dropped': '18', 'plan_to_watch': '8'}, 'num_list_users': 56}"
47333,Guaiwu Gongyu: Youqing Pianzhang,,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '2', 'dropped': '18', 'plan_to_watch': '8'}, 'num_list_users': 55}"
47334,Guaiwu Gongyu: Meihao Weilai,,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '2', 'dropped': '18', 'plan_to_watch': '9'}, 'num_list_users': 56}"
47335,Ci Du Chuanqi: Niuniu He Niuniu,,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '10'}, 'num_list_users': 59}"
47336,Huanxiang Jia Xiao Mei,,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '2', 'dropped': '16', 'plan_to_watch': '10'}, 'num_list_users': 53}"
47337,Huanxiang Jia Xiao Mei: Chengzhang de Fannao,,,"{'status': {'watching': '2', 'completed': '22', 'on_hold': '1', 'dropped': '17', 'plan_to_watch': '10'}, 'num_list_users': 52}"
47338,Miao Xingren,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '2', 'dropped': '16', 'plan_to_watch': '10'}, 'num_list_users': 55}"
47339,Bandian Xiong Yu Da Ben Zei,,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '2', 'dropped': '23', 'plan_to_watch': '10'}, 'num_list_users': 63}"
47340,Zhihui Zhuangyuan,,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '22', 'plan_to_watch': '9'}, 'num_list_users': 59}"
47342,Xiaobao Bianxing Ji,2016,,"{'status': {'watching': '2', 'completed': '22', 'on_hold': '2', 'dropped': '22', 'plan_to_watch': '8'}, 'num_list_users': 56}"
47343,Meng Cai Yu Bao Ai Koucai,2016,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '3', 'dropped': '21', 'plan_to_watch': '9'}, 'num_list_users': 61}"
47344,Fuxi Chuanqi: Wuhang Ling Yu,2016,,"{'status': {'watching': '2', 'completed': '25', 'on_hold': '1', 'dropped': '19', 'plan_to_watch': '11'}, 'num_list_users': 58}"
47345,DouDou Yu KuaKe: Shenmi Pengyou,2018,,"{'status': {'watching': '2', 'completed': '24', 'on_hold': '2', 'dropped': '22', 'plan_to_watch': '10'}, 'num_list_users': 60}"
47347,Kuang Wan Zhan Ji,2016-07-14,2016-09-01,"{'status': {'watching': '6', 'completed': '34', 'on_hold': '3', 'dropped': '21', 'plan_to_watch': '18'}, 'num_list_users': 82}"
47348,Xiao Xing de Zhongguo Mingzhu Zhi Lu,2012,,"{'status': {'watching': '3', 'completed': '23', 'on_hold': '2', 'dropped': '20', 'plan_to_watch': '11'}, 'num_list_users': 59}"
47349,Pan Hu Chuanqi,2017-09-13,2017-09-21,"{'status': {'watching': '3', 'completed': '29', 'on_hold': '2', 'dropped': '31', 'plan_to_watch': '17'}, 'num_list_users': 82}"
47351,Kaibutsu,2021-01-13,2021-01-13,"{'status': {'watching': '26', 'completed': '1355', 'on_hold': '7', 'dropped': '20', 'plan_to_watch': '95'}, 'num_list_users': 1503}"
47352,Sinbo Dog & Hami Rabbit,,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': '1', 'dropped': '15', 'plan_to_watch': '12'}, 'num_list_users': 55}"
47353,Xiangyang Meng Wuyu,2016-06-27,2017-04-14,"{'status': {'watching': '3', 'completed': '30', 'on_hold': '2', 'dropped': '20', 'plan_to_watch': '14'}, 'num_list_users': 69}"
47355,Dandan Long He Ta de Xiao Huobanmen,,,"{'status': {'watching': '2', 'completed': '26', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '10'}, 'num_list_users': 59}"
47356,Mi Nuo de Zhong Er Qingchun,2016-09-30,2016-11-25,"{'status': {'watching': '3', 'completed': '29', 'on_hold': '3', 'dropped': '23', 'plan_to_watch': '14'}, 'num_list_users': 72}"
47358,Wai Xing Da Caoyuan,2016,,"{'status': {'watching': '3', 'completed': '24', 'on_hold': 0, 'dropped': '20', 'plan_to_watch': '10'}, 'num_list_users': 57}"
47359,Sai Ya Lixian Ji,,,"{'status': {'watching': '2', 'completed': '27', 'on_hold': '2', 'dropped': '19', 'plan_to_watch': '11'}, 'num_list_users': 61}"
47360,Xiongmao Xiao Rang,2017-02-27,,"{'status': {'watching': '2', 'completed': '23', 'on_hold': '1', 'dropped': '20', 'plan_to_watch': '12'}, 'num_list_users': 58}"
47361,Chong Chongwu Yu,,,"{'status': {'watching': '3', 'completed': '25', 'on_hold': '1', 'dropped': '16', 'plan_to_watch': '10'}, 'num_list_users': 55}"
47362,Baba Bao Bao,2016-06-27,,"{'status': {'watching': '3', 'completed': '28', 'on_hold': '1', 'dropped': '28', 'plan_to_watch': '12'}, 'num_list_users': 72}"
47366,Ju Shu 5 Sui Hua,2016-12-29,2017-11-30,"{'status': {'watching': '3', 'completed': '28', 'on_hold': '2', 'dropped': '19', 'plan_to_watch': '17'}, 'num_list_users': 69}"
47367,Jiutian Qi Yuan,2012,,"{'status': {'watching': '4', 'completed': '23', 'on_hold': 0, 'dropped': '19', 'plan_to_watch': '18'}, 'num_list_users': 64}"
47368,Da Xing Zuo,2016-08-18,,"{'status': {'watching': '3', 'completed': '30', 'on_hold': '2', 'dropped': '19', 'plan_to_watch': '17'}, 'num_list_users': 71}"
47369,Muzi Muyu Zhenxin Hua,2016,,"{'status': {'watching': '4', 'completed': '24', 'on_hold': '1', 'dropped': '15', 'plan_to_watch': '10'}, 'num_list_users': 54}"
47370,Guo Hun,2016-02-22,2016-02-22,"{'status': {'watching': '7', 'completed': '43', 'on_hold': '2', 'dropped': '14', 'plan_to_watch': '23'}, 'num_list_users': 89}"
