id,title,start_date,end_date,statistics
51076,Humanity!,2021-07-06,2021-07-06,"{'status': {'watching': '6', 'completed': '120', 'on_hold': '1', 'dropped': '9', 'plan_to_watch': '18'}, 'num_list_users': 154}"
51077,Kaisou Ressha,2021-08-09,2021-08-09,"{'status': {'watching': '68', 'completed': '1109', 'on_hold': '12', 'dropped': '24', 'plan_to_watch': '370'}, 'num_list_users': 1583}"
51078,11:08,2012-11-07,2012-11-07,"{'status': {'watching': '14', 'completed': '372', 'on_hold': '6', 'dropped': '26', 'plan_to_watch': '77'}, 'num_list_users': 495}"
51080,Egao no Loop,2018-12,2018-12,"{'status': {'watching': '7', 'completed': '58', 'on_hold': '3', 'dropped': '20', 'plan_to_watch': '19'}, 'num_list_users': 107}"
51084,I Wanna,2022-02-18,2022-02-18,"{'status': {'watching': '70', 'completed': '1172', 'on_hold': '10', 'dropped': '23', 'plan_to_watch': '345'}, 'num_list_users': 1620}"
51085,Kyojin no Hoshi: Tokubetsu-hen - Hanagata Mitsuru,2002-10-23,2003-01-15,"{'status': {'watching': '8', 'completed': '62', 'on_hold': '8', 'dropped': '29', 'plan_to_watch': '95'}, 'num_list_users': 202}"
51086,The Kabocha Wine: Ore to Aitsu no Shinkon Ryokou!?,1982-12-27,1982-12-27,"{'status': {'watching': '11', 'completed': '57', 'on_hold': '7', 'dropped': '37', 'plan_to_watch': '80'}, 'num_list_users': 192}"
51087,Repaint,2022-02-14,2022-02-14,"{'status': {'watching': '15', 'completed': '501', 'on_hold': '4', 'dropped': '23', 'plan_to_watch': '83'}, 'num_list_users': 626}"
51088,Eroriman,2022-02-25,2022-04-28,"{'status': {'watching': '620', 'completed': '1871', 'on_hold': '249', 'dropped': '171', 'plan_to_watch': '900'}, 'num_list_users': 3811}"
51089,Melt (2022),2022-02-13,2022-02-13,"{'status': {'watching': '53', 'completed': '517', 'on_hold': '12', 'dropped': '17', 'plan_to_watch': '227'}, 'num_list_users': 826}"
51090,Nag,2021-03-25,2021-03-25,"{'status': {'watching': '19', 'completed': '137', 'on_hold': '1', 'dropped': '11', 'plan_to_watch': '28'}, 'num_list_users': 196}"
51091,Hologram Circus,2020-12-29,2020-12-29,"{'status': {'watching': '31', 'completed': '832', 'on_hold': '7', 'dropped': '18', 'plan_to_watch': '80'}, 'num_list_users': 968}"
51092,Yurei Deco,2022-07-03,2022-09-18,"{'status': {'watching': '2078', 'completed': '6214', 'on_hold': '823', 'dropped': '3480', 'plan_to_watch': '6648'}, 'num_list_users': 19243}"
51095,AEON,2019-07-23,2019-07-23,"{'status': {'watching': '9', 'completed': '197', 'on_hold': 0, 'dropped': '21', 'plan_to_watch': '65'}, 'num_list_users': 292}"
