id,title,start_date,end_date,statistics
5194,Aneimo,2008-08-25,2008-12-25,"{'status': {'watching': '1002', 'completed': '8462', 'on_hold': '574', 'dropped': '479', 'plan_to_watch': '3371'}, 'num_list_users': 13888}"
5196,Aria the Origination Picture Drama,2008-04-25,2008-10-25,"{'status': {'watching': '320', 'completed': '7218', 'on_hold': '233', 'dropped': '208', 'plan_to_watch': '3724'}, 'num_list_users': 11703}"
5197,Dragon League,1993-05-07,1994-02-27,"{'status': {'watching': '128', 'completed': '903', 'on_hold': '81', 'dropped': '147', 'plan_to_watch': '870'}, 'num_list_users': 2129}"
5199,Seto no Hanayome Fan Disc,2008-08-29,2008-08-29,"{'status': {'watching': '290', 'completed': '4109', 'on_hold': '218', 'dropped': '189', 'plan_to_watch': '3666'}, 'num_list_users': 8472}"
5200,Offside (TV),2001-05-10,2002-01-31,"{'status': {'watching': '266', 'completed': '1876', 'on_hold': '151', 'dropped': '257', 'plan_to_watch': '1505'}, 'num_list_users': 4055}"
5201,Salad Juu Yuushi Tomatoman,1992-04-03,1993-03-27,"{'status': {'watching': '57', 'completed': '667', 'on_hold': '43', 'dropped': '125', 'plan_to_watch': '273'}, 'num_list_users': 1165}"
5203,Shin Maple Town Monogatari: Palm Town-hen,1987-01-18,1987-12-27,"{'status': {'watching': '111', 'completed': '1022', 'on_hold': '77', 'dropped': '150', 'plan_to_watch': '681'}, 'num_list_users': 2041}"
5204,Kara no Kyoukai Movie 6: Boukyaku Rokuon,2008-12-20,2008-12-20,"{'status': {'watching': '2798', 'completed': '143949', 'on_hold': '1591', 'dropped': '567', 'plan_to_watch': '43209'}, 'num_list_users': 192114}"
5205,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),2009-08-08,2009-08-08,"{'status': {'watching': '3931', 'completed': '144570', 'on_hold': '1955', 'dropped': '824', 'plan_to_watch': '55504'}, 'num_list_users': 206784}"
5207,Hokuro Kyoudai Full Throttle!!!!,2007-05-25,2007-05-25,"{'status': {'watching': '23', 'completed': '224', 'on_hold': '9', 'dropped': '67', 'plan_to_watch': '151'}, 'num_list_users': 474}"
5208,Hatsukoi,2004-02-25,2004-04-25,"{'status': {'watching': '180', 'completed': '1258', 'on_hold': '125', 'dropped': '166', 'plan_to_watch': '1129'}, 'num_list_users': 2858}"
5209,Manin Densha,2005-05-27,2009-04-24,"{'status': {'watching': '750', 'completed': '3660', 'on_hold': '352', 'dropped': '328', 'plan_to_watch': '2115'}, 'num_list_users': 7205}"
5210,Houkago 2 The Animation,2007-08-31,2007-08-31,"{'status': {'watching': '378', 'completed': '1970', 'on_hold': '231', 'dropped': '199', 'plan_to_watch': '1343'}, 'num_list_users': 4121}"
5211,Hime Dorei,2008-06-25,2008-10-25,"{'status': {'watching': '483', 'completed': '2387', 'on_hold': '259', 'dropped': '219', 'plan_to_watch': '1526'}, 'num_list_users': 4874}"
5212,Saimin Gakuen,2008-08-08,2008-11-14,"{'status': {'watching': '755', 'completed': '3586', 'on_hold': '351', 'dropped': '308', 'plan_to_watch': '2297'}, 'num_list_users': 7297}"
5213,Houkago 2: Sayuri,2008-07-25,2008-07-25,"{'status': {'watching': '396', 'completed': '2163', 'on_hold': '249', 'dropped': '214', 'plan_to_watch': '1466'}, 'num_list_users': 4488}"
5214,Gakuen Shimai,2008-08-01,2008-11-28,"{'status': {'watching': '468', 'completed': '2942', 'on_hold': '285', 'dropped': '221', 'plan_to_watch': '1694'}, 'num_list_users': 5610}"
5216,D.C.if: Da Capo if,2008-12-25,2009-03-25,"{'status': {'watching': '403', 'completed': '10496', 'on_hold': '286', 'dropped': '226', 'plan_to_watch': '4468'}, 'num_list_users': 15879}"
5217,Goal FH: Field Hunter,1994-04-04,1994-12-26,"{'status': {'watching': '105', 'completed': '1066', 'on_hold': '72', 'dropped': '157', 'plan_to_watch': '680'}, 'num_list_users': 2080}"
5220,Shangri-La,2009-04-06,2009-09-14,"{'status': {'watching': '4201', 'completed': '21709', 'on_hold': '3936', 'dropped': '5841', 'plan_to_watch': '26771'}, 'num_list_users': 62458}"
5223,Robotan (1986),1986-01-06,1986-09-20,"{'status': {'watching': '36', 'completed': '568', 'on_hold': '27', 'dropped': '119', 'plan_to_watch': '172'}, 'num_list_users': 922}"
5225,Lupin III: Pilot Film,1969,1969,"{'status': {'watching': '207', 'completed': '7439', 'on_hold': '118', 'dropped': '134', 'plan_to_watch': '3014'}, 'num_list_users': 10912}"
5226,Souten Kouro,2009-04-08,2009-09-30,"{'status': {'watching': '1559', 'completed': '4427', 'on_hold': '1108', 'dropped': '1232', 'plan_to_watch': '10745'}, 'num_list_users': 19071}"
5228,Initial D Extra Stage 2,2008-10-03,2008-10-03,"{'status': {'watching': '809', 'completed': '32571', 'on_hold': '335', 'dropped': '250', 'plan_to_watch': '8137'}, 'num_list_users': 42102}"
5231,Inazuma Eleven,2008-10-05,2011-04-27,"{'status': {'watching': '13933', 'completed': '159357', 'on_hold': '9338', 'dropped': '11728', 'plan_to_watch': '20358'}, 'num_list_users': 214714}"
5232,Ninja Bugei-chou,1967-02-15,1967-02-15,"{'status': {'watching': '84', 'completed': '555', 'on_hold': '43', 'dropped': '130', 'plan_to_watch': '1002'}, 'num_list_users': 1814}"
5233,Slayers Evolution-R,2009-01-12,2009-04-06,"{'status': {'watching': '866', 'completed': '21850', 'on_hold': '746', 'dropped': '539', 'plan_to_watch': '8679'}, 'num_list_users': 32680}"
5234,Zettai Yareru Greece Shinwa,2008-10-04,2008-12-27,"{'status': {'watching': '41', 'completed': '208', 'on_hold': '20', 'dropped': '142', 'plan_to_watch': '396'}, 'num_list_users': 807}"
5235,Live On Cardliver Kakeru,2008-10-05,2009-09-27,"{'status': {'watching': '130', 'completed': '346', 'on_hold': '86', 'dropped': '155', 'plan_to_watch': '612'}, 'num_list_users': 1329}"
5237,Compiler Festa,1995-12-21,1995-12-21,"{'status': {'watching': '59', 'completed': '676', 'on_hold': '43', 'dropped': '66', 'plan_to_watch': '505'}, 'num_list_users': 1349}"
5238,Chocolate Underground: Bokura no Chocolate Sensou,2009-01-31,2009-01-31,"{'status': {'watching': '53', 'completed': '600', 'on_hold': '72', 'dropped': '94', 'plan_to_watch': '1375'}, 'num_list_users': 2194}"
5240,"Pyuu to Fuku! Jaguar: Ima, Fuki ni Yukimasu",2009-01-01,2009-01-01,"{'status': {'watching': '33', 'completed': '201', 'on_hold': '18', 'dropped': '71', 'plan_to_watch': '508'}, 'num_list_users': 831}"
5241,Mofu☆Mofu,2008-08,2008,"{'status': {'watching': '35', 'completed': '272', 'on_hold': '20', 'dropped': '83', 'plan_to_watch': '258'}, 'num_list_users': 668}"
5244,Aria the Natural: Sono Futatabi Deaeru Kiseki ni...,2006-05-07,2006-05-07,"{'status': {'watching': '272', 'completed': '11058', 'on_hold': '242', 'dropped': '178', 'plan_to_watch': '4888'}, 'num_list_users': 16638}"
5246,Adesugata Mahou no Sannin Musume,1986-03-28,1986-03-28,"{'status': {'watching': '67', 'completed': '726', 'on_hold': '30', 'dropped': '102', 'plan_to_watch': '573'}, 'num_list_users': 1498}"
5249,Mitsume ga Tooru,1990-10-18,1991-09-26,"{'status': {'watching': '148', 'completed': '671', 'on_hold': '108', 'dropped': '161', 'plan_to_watch': '609'}, 'num_list_users': 1697}"
5250,God Mazinger,1984-04-05,1984-10-23,"{'status': {'watching': '177', 'completed': '975', 'on_hold': '110', 'dropped': '199', 'plan_to_watch': '1317'}, 'num_list_users': 2778}"
5251,Angel Densetsu,1996-12-13,1996-12-13,"{'status': {'watching': '1047', 'completed': '27737', 'on_hold': '403', 'dropped': '319', 'plan_to_watch': '10460'}, 'num_list_users': 39966}"
5252,One Piece: Romance Dawn Story,2008-11-24,2008-11-24,"{'status': {'watching': '810', 'completed': '42273', 'on_hold': '449', 'dropped': '334', 'plan_to_watch': '9287'}, 'num_list_users': 53153}"
5256,"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai",2007-09-09,2007-09-09,"{'status': {'watching': '135', 'completed': '8948', 'on_hold': '126', 'dropped': '178', 'plan_to_watch': '2274'}, 'num_list_users': 11661}"
5258,Hajime no Ippo: New Challenger,2009-01-07,2009-07-01,"{'status': {'watching': '11419', 'completed': '217894', 'on_hold': '3929', 'dropped': '2146', 'plan_to_watch': '50355'}, 'num_list_users': 285743}"
5259,Rance: Sabaku no Guardian,1993-12-25,1993-12-25,"{'status': {'watching': '537', 'completed': '3614', 'on_hold': '253', 'dropped': '264', 'plan_to_watch': '2880'}, 'num_list_users': 7548}"
5260,Pankunchi,2007,2007,"{'status': {'watching': '38', 'completed': '252', 'on_hold': '16', 'dropped': '60', 'plan_to_watch': '174'}, 'num_list_users': 540}"
5262,Shugo Chara!! Doki,2008-10-04,2009-09-25,"{'status': {'watching': '4780', 'completed': '77693', 'on_hold': '3566', 'dropped': '4060', 'plan_to_watch': '13549'}, 'num_list_users': 103648}"
5263,Tomorrow's Song,2005-08-03,2005-08-03,"{'status': {'watching': '18', 'completed': '667', 'on_hold': '6', 'dropped': '38', 'plan_to_watch': '154'}, 'num_list_users': 883}"
5266,Choujuu Kishin Dancougar: God Bless Dancougar,1987-04-15,1987-04-15,"{'status': {'watching': '112', 'completed': '956', 'on_hold': '55', 'dropped': '70', 'plan_to_watch': '891'}, 'num_list_users': 2084}"
5267,Gamba no Bouken,1975-04-07,1975-09-29,"{'status': {'watching': '318', 'completed': '1706', 'on_hold': '218', 'dropped': '235', 'plan_to_watch': '2098'}, 'num_list_users': 4575}"
5270,All That Gundam,1989,1989,"{'status': {'watching': '109', 'completed': '4056', 'on_hold': '70', 'dropped': '147', 'plan_to_watch': '1235'}, 'num_list_users': 5617}"
5272,Tondemo Nezumi Daikatsuyaku,1979-06-30,1979-06-30,"{'status': {'watching': '47', 'completed': '447', 'on_hold': '15', 'dropped': '85', 'plan_to_watch': '282'}, 'num_list_users': 876}"
5273,Miracle Giants Doumu-kun,1989-04-02,1990-03-25,"{'status': {'watching': '84', 'completed': '808', 'on_hold': '61', 'dropped': '160', 'plan_to_watch': '666'}, 'num_list_users': 1779}"
5274,Magical★Taruruuto-kun,1990-09-09,1992-05-10,"{'status': {'watching': '192', 'completed': '588', 'on_hold': '117', 'dropped': '179', 'plan_to_watch': '1191'}, 'num_list_users': 2267}"
5276,Happy Happy Clover,2007-07-06,2007-09-28,"{'status': {'watching': '133', 'completed': '610', 'on_hold': '96', 'dropped': '155', 'plan_to_watch': '925'}, 'num_list_users': 1919}"
5277,Sekirei: Pure Engagement,2010-07-04,2010-09-26,"{'status': {'watching': '8541', 'completed': '187972', 'on_hold': '3598', 'dropped': '3440', 'plan_to_watch': '38628'}, 'num_list_users': 242179}"
5278,Totsugeki! Pappara-tai,1998-10-03,1999-03-27,"{'status': {'watching': '88', 'completed': '231', 'on_hold': '43', 'dropped': '117', 'plan_to_watch': '600'}, 'num_list_users': 1079}"
5279,Sekirei: Hajimete no Otsukai,2009-03-25,2009-03-25,"{'status': {'watching': '1046', 'completed': '45911', 'on_hold': '495', 'dropped': '308', 'plan_to_watch': '9426'}, 'num_list_users': 57186}"
5281,Hissatsu Chikan Nin,2008-09-12,2008-12-12,"{'status': {'watching': '305', 'completed': '2091', 'on_hold': '185', 'dropped': '172', 'plan_to_watch': '1051'}, 'num_list_users': 3804}"
5285,SeeIn AO,2001-07-25,2001-10-25,"{'status': {'watching': '119', 'completed': '672', 'on_hold': '68', 'dropped': '115', 'plan_to_watch': '470'}, 'num_list_users': 1444}"
5287,Ippatsu Kanta-kun,1977-09-18,1978-09-24,"{'status': {'watching': '51', 'completed': '409', 'on_hold': '33', 'dropped': '131', 'plan_to_watch': '279'}, 'num_list_users': 903}"
5288,RahXephon Specials,2003-08-19,2004-02-19,"{'status': {'watching': '96', 'completed': '2064', 'on_hold': '104', 'dropped': '111', 'plan_to_watch': '1759'}, 'num_list_users': 4134}"
5289,Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,1998-12-19,1998-12-19,"{'status': {'watching': '52', 'completed': '846', 'on_hold': '37', 'dropped': '96', 'plan_to_watch': '546'}, 'num_list_users': 1577}"
5290,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,2008-03-01,2008-03-01,"{'status': {'watching': '141', 'completed': '3812', 'on_hold': '85', 'dropped': '138', 'plan_to_watch': '1238'}, 'num_list_users': 5414}"
5291,Hokuto no Ken Zero: Kenshirou Den,2008-10-11,2008-10-11,"{'status': {'watching': '360', 'completed': '6740', 'on_hold': '193', 'dropped': '157', 'plan_to_watch': '4127'}, 'num_list_users': 11577}"
5292,Getter Robo Go,1991-02-11,1992-01-27,"{'status': {'watching': '173', 'completed': '783', 'on_hold': '118', 'dropped': '209', 'plan_to_watch': '1396'}, 'num_list_users': 2679}"
5293,Time Slip Ichimannen: Prime Rose,1983-08-21,1983-08-21,"{'status': {'watching': '91', 'completed': '956', 'on_hold': '45', 'dropped': '111', 'plan_to_watch': '838'}, 'num_list_users': 2041}"
5296,Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!,1997-07-12,1997-07-12,"{'status': {'watching': '101', 'completed': '1357', 'on_hold': '67', 'dropped': '70', 'plan_to_watch': '1102'}, 'num_list_users': 2697}"
5298,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,2008-09-21,2008-11-23,"{'status': {'watching': '259', 'completed': '7486', 'on_hold': '121', 'dropped': '194', 'plan_to_watch': '2580'}, 'num_list_users': 10640}"
