id,title,start_date,end_date,statistics
33828,Yume Kakeru Kougen: Kiyosato no Chichi Paul Rusch,2002-10-19,2002-10-19,"{'status': {'watching': '31', 'completed': '235', 'on_hold': '15', 'dropped': '56', 'plan_to_watch': '277'}, 'num_list_users': 614}"
33831,Chii-chan no Kageokuri,,,"{'status': {'watching': '12', 'completed': '61', 'on_hold': '5', 'dropped': '53', 'plan_to_watch': '77'}, 'num_list_users': 208}"
33834,Sin: Nanatsu no Taizai,2017-04-15,2017-07-29,"{'status': {'watching': '16264', 'completed': '62260', 'on_hold': '6294', 'dropped': '19909', 'plan_to_watch': '53392'}, 'num_list_users': 158119}"
33835,PJ Berri no Mogumogu Munyamunya,2016-08-19,2017-03-09,"{'status': {'watching': '53', 'completed': '146', 'on_hold': '21', 'dropped': '105', 'plan_to_watch': '196'}, 'num_list_users': 521}"
33836,Seiren,2017-01-06,2017-03-24,"{'status': {'watching': '21251', 'completed': '104322', 'on_hold': '8003', 'dropped': '20544', 'plan_to_watch': '85562'}, 'num_list_users': 239682}"
33839,Alice in Deadly School,2021-03-03,2021-03-03,"{'status': {'watching': '714', 'completed': '5218', 'on_hold': '229', 'dropped': '451', 'plan_to_watch': '12792'}, 'num_list_users': 19404}"
33840,Kabuki-bu!,2017-04-07,2017-06-23,"{'status': {'watching': '1327', 'completed': '6586', 'on_hold': '837', 'dropped': '2691', 'plan_to_watch': '8703'}, 'num_list_users': 20144}"
33842,Fushigi no Yappo Shima: Pukipuki to Poi,2012-01-09,2012-02-10,"{'status': {'watching': '13', 'completed': '76', 'on_hold': '8', 'dropped': '70', 'plan_to_watch': '70'}, 'num_list_users': 237}"
33843,Matsubara-kun: Mackie E no Ouen Message,2015-10-04,2015-10-04,"{'status': {'watching': '15', 'completed': '144', 'on_hold': 0, 'dropped': '44', 'plan_to_watch': '60'}, 'num_list_users': 263}"
33845,Free! Movie 1: Timeless Medley - Kizuna,2017-04-22,2017-04-22,"{'status': {'watching': '1045', 'completed': '25035', 'on_hold': '643', 'dropped': '500', 'plan_to_watch': '22701'}, 'num_list_users': 49924}"
33846,Garo: Guren no Tsuki - Yurugaro,2016-01-23,2016-03-19,"{'status': {'watching': '69', 'completed': '428', 'on_hold': '47', 'dropped': '134', 'plan_to_watch': '585'}, 'num_list_users': 1263}"
33849,Nekoronde ID,2016-05-14,2016-05-14,"{'status': {'watching': '13', 'completed': '92', 'on_hold': '2', 'dropped': '52', 'plan_to_watch': '66'}, 'num_list_users': 225}"
33850,Nil Admirari no Tenbin,2018-04-08,2018-06-24,"{'status': {'watching': '3476', 'completed': '14787', 'on_hold': '1341', 'dropped': '3814', 'plan_to_watch': '17275'}, 'num_list_users': 40693}"
33854,KoSys! Lite,2015-07-25,2020-01-19,"{'status': {'watching': '56', 'completed': '55', 'on_hold': '5', 'dropped': '42', 'plan_to_watch': '87'}, 'num_list_users': 245}"
33855,Show By Rock!! x Joysound,2014-06-27,2016-05-15,"{'status': {'watching': '96', 'completed': '735', 'on_hold': '59', 'dropped': '97', 'plan_to_watch': '1259'}, 'num_list_users': 2246}"
33856,"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen",2011,2011,"{'status': {'watching': '22', 'completed': '70', 'on_hold': '7', 'dropped': '44', 'plan_to_watch': '82'}, 'num_list_users': 225}"
