id,title,start_date,end_date,statistics
1,Cowboy Bebop,1998-04-03,1999-04-24,"{'status': {'watching': '172641', 'completed': '1074282', 'on_hold': '106532', 'dropped': '43071', 'plan_to_watch': '463385'}, 'num_list_users': 1859911}"
5,Cowboy Bebop: Tengoku no Tobira,2001-09-01,2001-09-01,"{'status': {'watching': '7049', 'completed': '279039', 'on_hold': '2977', 'dropped': '1199', 'plan_to_watch': '86822'}, 'num_list_users': 377086}"
6,Trigun,1998-04-01,1998-09-30,"{'status': {'watching': '46428', 'completed': '446619', 'on_hold': '33460', 'dropped': '18756', 'plan_to_watch': '216243'}, 'num_list_users': 761506}"
7,Witch Hunter Robin,2002-07-03,2002-12-25,"{'status': {'watching': '5718', 'completed': '52322', 'on_hold': '5956', 'dropped': '6229', 'plan_to_watch': '46203'}, 'num_list_users': 116428}"
8,Bouken Ou Beet,2004-09-30,2005-09-29,"{'status': {'watching': '825', 'completed': '8234', 'on_hold': '839', 'dropped': '1242', 'plan_to_watch': '4276'}, 'num_list_users': 15416}"
15,Eyeshield 21,2005-04-06,2008-03-19,"{'status': {'watching': '17118', 'completed': '96322', 'on_hold': '16439', 'dropped': '13866', 'plan_to_watch': '39494'}, 'num_list_users': 183239}"
16,Hachimitsu to Clover,2005-04-15,2005-09-27,"{'status': {'watching': '15327', 'completed': '94579', 'on_hold': '14116', 'dropped': '13732', 'plan_to_watch': '130346'}, 'num_list_users': 268100}"
17,Hungry Heart: Wild Striker,2002-09-11,2003-09-10,"{'status': {'watching': '1135', 'completed': '16251', 'on_hold': '1011', 'dropped': '1402', 'plan_to_watch': '5138'}, 'num_list_users': 24937}"
18,Initial D Fourth Stage,2004-04-17,2006-02-18,"{'status': {'watching': '10846', 'completed': '141654', 'on_hold': '4958', 'dropped': '2112', 'plan_to_watch': '27970'}, 'num_list_users': 187540}"
19,Monster,2004-04-07,2005-09-28,"{'status': {'watching': '150709', 'completed': '402832', 'on_hold': '79835', 'dropped': '36122', 'plan_to_watch': '442367'}, 'num_list_users': 1111865}"
20,Naruto,2002-10-03,2007-02-08,"{'status': {'watching': '206994', 'completed': '2308543', 'on_hold': '92171', 'dropped': '131145', 'plan_to_watch': '104187'}, 'num_list_users': 2843040}"
21,One Piece,1999-10-20,,"{'status': {'watching': '1660661', 'completed': '21', 'on_hold': '278089', 'dropped': '187367', 'plan_to_watch': '217355'}, 'num_list_users': 2343493}"
22,Tennis no Oujisama,2001-10-10,2005-03-23,"{'status': {'watching': '16561', 'completed': '94401', 'on_hold': '15490', 'dropped': '15052', 'plan_to_watch': '42668'}, 'num_list_users': 184172}"
23,Ring ni Kakero 1,2004-10-06,2004-12-15,"{'status': {'watching': '269', 'completed': '1788', 'on_hold': '179', 'dropped': '356', 'plan_to_watch': '2250'}, 'num_list_users': 4842}"
24,School Rumble,2004-10-05,2005-03-29,"{'status': {'watching': '15521', 'completed': '182192', 'on_hold': '14702', 'dropped': '15643', 'plan_to_watch': '99787'}, 'num_list_users': 327845}"
25,Sunabouzu,2004-10-06,2005-03-30,"{'status': {'watching': '8342', 'completed': '63686', 'on_hold': '7292', 'dropped': '9735', 'plan_to_watch': '50668'}, 'num_list_users': 139723}"
26,Texhnolyze,2003-04-17,2003-09-25,"{'status': {'watching': '16246', 'completed': '61447', 'on_hold': '12224', 'dropped': '10314', 'plan_to_watch': '151661'}, 'num_list_users': 251892}"
27,Trinity Blood,2005-04-29,2005-10-28,"{'status': {'watching': '9536', 'completed': '98328', 'on_hold': '9760', 'dropped': '10473', 'plan_to_watch': '56625'}, 'num_list_users': 184722}"
28,Yakitate!! Japan,2004-10-12,2006-03-14,"{'status': {'watching': '6713', 'completed': '47066', 'on_hold': '6729', 'dropped': '5469', 'plan_to_watch': '32126'}, 'num_list_users': 98103}"
29,Zipang,2004-10-08,2005-04-01,"{'status': {'watching': '1271', 'completed': '8789', 'on_hold': '931', 'dropped': '843', 'plan_to_watch': '10732'}, 'num_list_users': 22566}"
30,Shinseiki Evangelion,1995-10-04,1996-03-27,"{'status': {'watching': '115339', 'completed': '1289702', 'on_hold': '55644', 'dropped': '32538', 'plan_to_watch': '318104'}, 'num_list_users': 1811327}"
31,Shinseiki Evangelion Movie: Shi to Shinsei,1997-03-15,1997-03-15,"{'status': {'watching': '3308', 'completed': '209562', 'on_hold': '1545', 'dropped': '1348', 'plan_to_watch': '45777'}, 'num_list_users': 261540}"
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1997-07-19,1997-07-19,"{'status': {'watching': '15227', 'completed': '789599', 'on_hold': '3905', 'dropped': '2411', 'plan_to_watch': '118090'}, 'num_list_users': 929232}"
33,Kenpuu Denki Berserk,1997-10-08,1998-04-01,"{'status': {'watching': '37844', 'completed': '419892', 'on_hold': '18636', 'dropped': '12605', 'plan_to_watch': '167586'}, 'num_list_users': 656563}"
43,Koukaku Kidoutai,1995-11-18,1995-11-18,"{'status': {'watching': '13305', 'completed': '421854', 'on_hold': '5037', 'dropped': '2558', 'plan_to_watch': '191945'}, 'num_list_users': 634699}"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1999-02-20,1999-09-22,"{'status': {'watching': '8797', 'completed': '177469', 'on_hold': '3782', 'dropped': '2339', 'plan_to_watch': '83967'}, 'num_list_users': 276354}"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,1996-01-10,1998-09-08,"{'status': {'watching': '38907', 'completed': '265581', 'on_hold': '36701', 'dropped': '23451', 'plan_to_watch': '130336'}, 'num_list_users': 494976}"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1997-12-20,1997-12-20,"{'status': {'watching': '857', 'completed': '39655', 'on_hold': '566', 'dropped': '332', 'plan_to_watch': '11150'}, 'num_list_users': 52560}"
47,Akira,1988-07-16,1988-07-16,"{'status': {'watching': '14944', 'completed': '642389', 'on_hold': '5595', 'dropped': '3415', 'plan_to_watch': '184010'}, 'num_list_users': 850353}"
48,.hack//Sign,2002-04-04,2002-09-26,"{'status': {'watching': '8336', 'completed': '102936', 'on_hold': '9298', 'dropped': '13767', 'plan_to_watch': '48742'}, 'num_list_users': 183079}"
49,Aa! Megami-sama!,1993-02-21,1994-05-17,"{'status': {'watching': '1446', 'completed': '38602', 'on_hold': '1018', 'dropped': '1117', 'plan_to_watch': '12029'}, 'num_list_users': 54212}"
50,Aa! Megami-sama! (TV),2005-01-07,2005-07-08,"{'status': {'watching': '7693', 'completed': '97218', 'on_hold': '7475', 'dropped': '9148', 'plan_to_watch': '38412'}, 'num_list_users': 159946}"
51,Tenshi Kinryouku,2000-05-25,2000-08-25,"{'status': {'watching': '1111', 'completed': '35554', 'on_hold': '856', 'dropped': '1509', 'plan_to_watch': '10497'}, 'num_list_users': 49527}"
52,Kidou Tenshi Angelic Layer,2001-04-01,2001-09-23,"{'status': {'watching': '2049', 'completed': '36633', 'on_hold': '2885', 'dropped': '3138', 'plan_to_watch': '14014'}, 'num_list_users': 58719}"
53,Ai Yori Aoshi,2002-04-11,2002-09-26,"{'status': {'watching': '5303', 'completed': '67860', 'on_hold': '4777', 'dropped': '6764', 'plan_to_watch': '26333'}, 'num_list_users': 111037}"
54,Appleseed (Movie),2004-04-17,2004-04-17,"{'status': {'watching': '1134', 'completed': '57140', 'on_hold': '520', 'dropped': '620', 'plan_to_watch': '14517'}, 'num_list_users': 73931}"
55,Arc the Lad,1999-04-05,1999-10-11,"{'status': {'watching': '765', 'completed': '8028', 'on_hold': '790', 'dropped': '1047', 'plan_to_watch': '5887'}, 'num_list_users': 16517}"
56,Avenger,2003-10-02,2003-12-25,"{'status': {'watching': '745', 'completed': '8735', 'on_hold': '757', 'dropped': '1413', 'plan_to_watch': '6229'}, 'num_list_users': 17879}"
57,Beck,2004-10-07,2005-03-31,"{'status': {'watching': '16286', 'completed': '163368', 'on_hold': '13202', 'dropped': '10516', 'plan_to_watch': '137249'}, 'num_list_users': 340621}"
