id,title,start_date,end_date,statistics
40440,Xiong Chumo: Yuanshi Shidai,2019-02-05,2019-02-05,"{'status': {'watching': '10', 'completed': '112', 'on_hold': '5', 'dropped': '56', 'plan_to_watch': '63'}, 'num_list_users': 246}"
40441,Sunny,2019-09-06,2019-09-06,"{'status': {'watching': '9', 'completed': '241', 'on_hold': '2', 'dropped': '23', 'plan_to_watch': '38'}, 'num_list_users': 313}"
40442,Initiation feat. Hatsune Miku,2012-12-26,2012-12-26,"{'status': {'watching': '36', 'completed': '629', 'on_hold': '2', 'dropped': '24', 'plan_to_watch': '103'}, 'num_list_users': 794}"
40452,Kaze to Tomoni,2017-06-01,2017-06-01,"{'status': {'watching': '18', 'completed': '179', 'on_hold': '6', 'dropped': '21', 'plan_to_watch': '57'}, 'num_list_users': 281}"
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,2020-01-29,2020-01-29,"{'status': {'watching': '2038', 'completed': '83084', 'on_hold': '644', 'dropped': '427', 'plan_to_watch': '19259'}, 'num_list_users': 105452}"
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2020-10-03,2020-12-19,"{'status': {'watching': '47996', 'completed': '406056', 'on_hold': '14053', 'dropped': '13120', 'plan_to_watch': '113856'}, 'num_list_users': 595081}"
40455,Sylvanian Families: Mini Story - Clover,2019-10-03,2019-12-19,"{'status': {'watching': '7', 'completed': '89', 'on_hold': '6', 'dropped': '47', 'plan_to_watch': '75'}, 'num_list_users': 224}"
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,2020-10-16,2020-10-16,"{'status': {'watching': '27015', 'completed': '1314721', 'on_hold': '3600', 'dropped': '2071', 'plan_to_watch': '183124'}, 'num_list_users': 1530531}"
40459,Ensemble Stars! Picture Drama,2019-09-26,2020-04-24,"{'status': {'watching': '95', 'completed': '246', 'on_hold': '44', 'dropped': '100', 'plan_to_watch': '1132'}, 'num_list_users': 1617}"
40460,Nakanohito Genome [Jikkyouchuu]: Knots of Memories,2020-02-27,2020-02-27,"{'status': {'watching': '539', 'completed': '8753', 'on_hold': '203', 'dropped': '150', 'plan_to_watch': '7467'}, 'num_list_users': 17112}"
